,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,contains_contacts_page,contains_business_name,contains_business_name_in_copyright,contains_social_media_links,contains_reviews_page,contains_zipCode,url_contains_phone_number,url_contains_email,manually_checked,url_is_review_page
0,704,1000003106,Country Porch Antiques,15364 Old Lake Rd,,Paynesville,MN,56362.0,USA,3202434027.0,,https://antique-dealers.cmac.ws/country-porch-antiques/8396/,50626-000,Surplus & Salvage Merchandise,1/1/1994 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,1/29/2023 8:36,Search,,,,,,,,,0,
1,704,1000005214,Ron Aden Construction,70927 390th street ,,Saint James,MN,56081.0,USA,5077373995.0,,https://discoverstjamesmn.com/do-business/business-directory/name/ron-aden/,10177-000,Construction & Remodeling Services,4/7/2015 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/7/2023 9:00,Search,,,,,,,,,0,
2,704,1000004787,Vitality Health Center,3564 Rolling View Dr,,White Bear Lk,MN,55110.0,USA,6517739414.0,,http://www.vitalityhealthcentermn.com/,60205-000,Chiropractors D.C.,1/1/1998 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,1/27/2023 9:09,Search,,,,,,,,,1,
3,704,1000004965,"Lake Superior Art Glass, LLC",202 E Superior St,,Duluth,MN,55802.0,USA,2184641799.0,,https://lakesuperiorartglass.com/,30265-000,Glass Blowers,8/12/2011 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/9/2021 4:06,Search,,,,,,,,,1,
4,704,1000001569,Pretty Petals Floral,401 Main St W,,Hazen,ND,58545.0,USA,7017486080.0,,http://www.prettypetalshazen.com/,50275-000,Florists - Retail,1/1/2009 0:00,,False,A+,100.0,4.0,0.0,False,Micro-small,False,12/25/2020 3:51,Search,,,,,,,,,1,
5,704,1000005167,Ramberg Construction,9552 375th St,,North Branch,MN,55056.0,USA,6516747668.0,,https://www.dandb.com/businessdirectory/rambergconstructioninc-northbranch-mn-27372077.html,10089-000,Mason Contractors,9/29/1995 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/7/2023 9:00,Search,,,,,,,,,0,
6,704,1000006307,D W Smith Construction LLC,2 Lee St,,Forest Lake,MN,55025.0,USA,6514642661.0,,https://www.dli.mn.gov/sites/default/files/pdf/rbc_2021actions.pdf,10177-000,Construction & Remodeling Services,7/14/2009 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/3/2023 8:39,Search,,,,,,,,,0,
7,704,1000006020,Shawn Bisbee Inc,551 Simard St,,Mendota Hts,MN,55118.0,USA,6513351533.0,,https://www.bizapedia.com/mn/shawn-bisbee-inc.html,10177-000,Construction & Remodeling Services,4/26/1993 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/17/2020 4:30,Search,,,,,,,,,0,
8,704,1000000165,Mixson Siding & Windows,136 E Belle Vue Rd,,Fairmont,MN,56031.0,USA,5072361072.0,,https://lindsaywindows.com/dealers/mixson/,10126-000,Roofing Contractors,2/5/2008 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2/2/2023 8:53,Search,,,,,,,,,1,
9,704,1000004367,"Here and There Services, LLC",5145 Colfax Ave N,,Minneapolis,MN,55430.0,USA,6124071722.0,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2724066,70542-000,Delivery Service,1/30/2015 0:00,7/21/2021 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,7/23/2021 3:59,Search,,,,,,,,,1,
