BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
704,96360886,"Grant&#39;s Precision Painting, LLC",2160 Grimm Rd,,Chaska,MN,55318,USA,6128608102,grantsprecisionpainting@gmail.com,http://www.grantsprecisionpainting.com,10095-000,Painting Contractors,4/28/2011 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,11/29/2022 9:07,BBB
704,96504270,"SC Cleaning Services, LLC",13000 Harriet Ave S Apt 126,,Burnsville,MN,55337,USA,9524056023,sccleaningservices@gmail.com,http://www.sccleaningservices.com,66002-000,Cleaning Services,7/15/2013 0:00,,FALSE,A+,100,1,,FALSE,Micro-small,FALSE,11/3/2021 4:22,BBB
704,1000047607,JRS Heart Foundation,4308 29th Ave south,,Minneapolis,MN,55406,USA,7152239891,joshua.r.rolfwalz@gmail.com,https://jrsheartfoundation104.workplace.com/profile.php?id=100070153208120,88100-000,Employee Assistance Programs,,,FALSE,A,94,1,,FALSE,Micro-small,FALSE,2/5/2023 8:42,BBB
704,1000001500,YMCA--Bismarck,1608 N Washington St.,,Bismarck,ND,58501,USA,7012551525,,http://www.bismarckymca.org/,60430-100,Fitness Centers,,,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,6/15/2022 9:02,BBB
704,96119794,ARP Wave LLC,7721 145th St W,,Saint Paul,MN,55124,USA,9524319708,onlinesupport@arpwave.com,http://www.arpwave.com,60971-000,Health & Medical - General,1/1/2000 0:00,,FALSE,A+,100,35,0,FALSE,Small,FALSE,2/8/2023 9:28,BBB
704,14000649,Wildlife Management Services,7441 Jolly Ln,,Brooklyn Park,MN,55428,USA,7634249111,wildlifemanagementservicesmn@gmail.com,http://www.wmsmn.com,70517-100,Animals - Nuisance Control - Trapping,1/1/1989 0:00,,TRUE,A+,100,15,,FALSE,Small,FALSE,11/18/2022 9:13,BBB
704,96355563,A Weise Choice Construction LLC,4576 Embassy Cir NE,,Prior Lake,MN,55372,USA,6125995169,awcconstruction@gmail.com,http://www.awcconstruction.com/,10035-000,Contractors - General,9/27/2011 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,8/20/2021 4:25,BBB
704,96503332,All in One Painting & Decoration,111 2nd Ave NW,,Hankinson,ND,58041,USA,2183293181,allinone@gomoorhead.com,http://www.allinonepaintingnd.com,10095-300,Painters - Commercial or Residential,,,FALSE,A+,100,1,,FALSE,Micro-small,FALSE,9/1/2022 8:30,BBB
704,96126284,Salon Capri,200 8th Ave NW Ste 8,,Faribault,MN,55021,USA,5073320585,salon.capri@live.com,http://saloncaprimn.com,60134-000,Beauty Salons,2/15/1999 0:00,,FALSE,A+,100,6,0,FALSE,Small,FALSE,3/22/2022 8:36,BBB
704,96089337,WC Construction,4511 Sandywood Ct SE,,Rochester,MN,55904,USA,5072520987,wayne@wcconstruct.com,http://www.wcconstruct.com,10177-000,Construction & Remodeling Services,1/1/1999 0:00,,FALSE,A+,100,1,,FALSE,Micro-small,FALSE,4/8/2021 4:07,BBB
704,96293285,"Clearwater Recreation, LLC",329 E Lake St,,Waconia,MN,55387,USA,9524421820,clearwaterrec@msn.com,http://www.clearwaterrecreation.com,30509-000,Playground Equipment,5/5/2004 0:00,8/4/2021 0:00,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,2/1/2023 8:57,BBB
704,96030300,"Grainger, Inc.",4444 Round Lake Rd W,,Arden Hills,MN,55112,USA,6516365737,brn.497@grainger.com,http://grainger.com,80201-100,Construction Equipment Sales / Services,1/1/1927 0:00,,FALSE,A+,100,14,,FALSE,Small,FALSE,12/27/2022 8:49,BBB
704,1000044497,"Brad Aschnewitz Construction, LLC",320 W Adolphus Ave,,Fergus Falls,MN,56537,USA,2182054408,bradaschnewitz@yahoo.com,https://www.facebook.com/bradaschnewitzconstructuon/,10035-000,Contractors - General,10/23/2020 0:00,,TRUE,A,94.64,4,,FALSE,Micro-small,FALSE,8/31/2022 9:00,BBB
704,96550729,Toonstra Psychological Services,107 SE 10th St STE 2,,Grand Rapids,MN,55744,USA,2182597424,jeff@paulbunyan.net,https://www.paulbunyan.net/,60710-000,Psychologists,7/16/2014 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,2/18/2022 9:11,Email
704,1000018827,Amazing Lash Studio Woodbury,530 Woodbury Dr Ste 100,,Woodbury,MN,55125,USA,6515643200,woodbury@amazinglashstudio.com,https://www.amazinglashstudio.com/studios/mn/minneapolis/woodbury,60603-000,Nail Salons,11/16/2016 0:00,,FALSE,A,94,1,0,FALSE,Micro-small,FALSE,5/19/2022 8:39,BBB
704,24000605,"Dents Unlimited, Inc.",110 Roosevelt Rd,,Saint Cloud,MN,56301,USA,3206560113,scott@dentsunlimitedinc.com,http://www.dentsunlimitedinc.com/,60094-000,Auto Body Repair & Painting,6/15/1992 0:00,,FALSE,A+,100,5,0,FALSE,Small,FALSE,3/16/2022 8:49,BBB
704,1000023848,Beartooth Forestry LLC,3800 W 104th St.,,Bloomington,MN,55431,USA,6122501224,nate@beartoothforestry.com,https://beartoothforestry.com/,00219-000,Tree Service,6/25/2018 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,1/27/2023 9:09,BBB
704,96162759,Ries Electric Company,777 Concord St N,,South Saint Paul,MN,55075,USA,6514512238,johnr@rieselectric.com,http://www.rieselectric.com,10049-000,Electricians,1/1/1953 0:00,,FALSE,A+,100,15,,FALSE,Small,FALSE,5/11/2022 8:36,BBB
704,96035109,Villeroy & Boch USA Inc,3A S Middlesex Ave,,Monroe Township,NJ,8831,USA,6095784300,,http://www.villeroy-boch.com,50310-000,Gift Shops,1/1/1997 0:00,,FALSE,A+,100,30,0,FALSE,Small,FALSE,8/4/2022 8:30,BBB
704,96580965,"ADB Advertising, LLC",2766 Commerce Dr NW,Ste D,Rochester,MN,55901,USA,5079900670,alex@adb-studios.com,https://www.facebook.com/ADBStudios/?fref=ts,60010-000,Advertising Agencies & Counselors,3/28/2012 0:00,,FALSE,NR,0,3,0,FALSE,Micro-small,FALSE,2/5/2023 8:42,BBB
704,1000036035,Wells Fargo Bank Minnesota,875 34th Ave,,Winona,MN,55987,USA,5074571390,carolyn.h.roby@wellsfargo.com,http://www.wellsfargo.com,20003-000,Banks,1/1/1929 0:00,,FALSE,NR,0,16600,0,FALSE,Giant,FALSE,6/1/2022 21:29,BBB
704,9000832,"Frana Companies, Inc.",633 2nd Ave S,,Hopkins,MN,55343,USA,9529358600,info@frana.com,http://www.frana.com,10035-000,Contractors - General,1/1/1977 0:00,,FALSE,A+,100,350,,FALSE,Medium,FALSE,2/25/2022 9:44,BBB
704,96011844,Creative Cabinetry,2825 S Broadway,,Minot,ND,58701,USA,7018386510,creativecabinetry@srt.com,http://www.creativecabinetryminot.com,50120-000,Cabinet Manufacturer,1/1/1995 0:00,4/25/2016 0:00,FALSE,NR,0,14,,FALSE,Micro-small,FALSE,4/29/2019 4:00,BBB
704,96099955,Random Specialties,PO Box 2110,,Manitowoc,WI,54221,USA,9529447600,bradM@crawleyprinting.com,http://www.crawleyprinting.com,30534-000,"Printers - Glass, Metal, Plastic",1/1/1949 0:00,,FALSE,A+,100,18,,FALSE,Micro-small,FALSE,8/4/2022 8:29,BBB
704,96000404,"Vision Loss Resources, Inc.",216 Wabasha St S,,Saint Paul,MN,55107,USA,6512247662,info@vlrw.org,http://www.visionlossresources.org,60817-000,Social Service Organizations,1/1/1955 0:00,,FALSE,A+,100,75,0,FALSE,Small,FALSE,12/10/2022 9:02,BBB
704,1000047838,CaptionMax LLC,2438 27th Ave S,275 Market Street #445,Mpls,MN,55406,USA,6123413566,services@captionmax.com,https://captionmax.com/,85350-000,Media Consultant,5/4/2017 0:00,,FALSE,A+,100,1,,FALSE,Micro-small,FALSE,1/6/2023 9:13,BBB
704,96119294,"Excelsior Exteriors, LLC",3030 Granada Ave N Ste C,,Oakdale,MN,55128,USA,6514281877,,http://www.excelsiorexteriorsllc.com,10126-000,Roofing Contractors,3/24/2008 0:00,8/3/2012 0:00,FALSE,NR,0,5,,FALSE,Micro-small,FALSE,3/19/2018 4:34,BBB
