,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
133879,133879,704,96222680,Midwest Auto Body & Sales,19910 Highway 23 Ne,,New London,MN,56273,USA,3203544977,,,60094-000,Auto Body Repair & Painting,2003-01-01 00:00:00,,False,A+,100.0,3.0,,False,Micro-small,False,2020-08-04 04:10:00,Search
133880,133880,704,96222709,Virginia Letourneau Canine Training Institute,23830 Highway 71 NE,,New London,MN,56273,USA,3203542094,,,00153-000,Pet Boarding & Kennels,1965-06-06 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-08-16 08:21:00,Search
133881,133881,704,96222721,Swenson & Sons Construction,1792 165th Ave NE,,New London,MN,56273,USA,3203543605,,,10050-000,Excavating Contractors,2006-01-01 00:00:00,,False,A+,100.0,4.0,,False,Micro-small,False,2022-08-26 08:32:00,Search
133882,133882,704,96222726,Fresh Plumbing,14708 195th Ave Ne,,Hawick,MN,56273,USA,3202768858,,,10003-000,Air Conditioning Contractors & Systems,,2016-03-16 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2019-03-18 03:58:00,Search
133883,133883,704,96222731,Acheval Claims Service,1862 165th Ave Ne,,New London,MN,56273,USA,3203547044,,,20080-000,Insurance Services,2010-08-30 00:00:00,,False,NR,0.0,1.0,,False,Micro-small,False,2022-05-09 08:18:00,Search
133884,133884,704,96222791,J & R Electric,606 S 7th St,,Olivia,MN,56277,USA,3205231979,,,10049-000,Electricians,2005-01-01 00:00:00,,False,NR,0.0,3.0,,False,Micro-small,False,2022-06-03 09:02:00,Search
133885,133885,704,96222796,Terry&#39;s Body Shop,1502 W Depue Ave,,Olivia,MN,56277,USA,3205232561,,,50183-200,Consignment Service - Automobile,1996-06-24 00:00:00,,False,NR,0.0,1.0,,False,Micro-small,False,2022-08-31 08:59:00,Search
133886,133886,704,96222834,Lakeshore Rv Park,39445 Lake Shore Rv Park Rd,,Ortonville,MN,56278,USA,3208393701,,,60177-000,Campgrounds & RV Parks,1996-01-01 00:00:00,,False,NR,0.0,6.0,,False,Micro-small,False,2022-06-03 09:02:00,Search
133887,133887,704,96222845,Matador Supper Club & Lounge,778 Us Highway 75,,Ortonville,MN,56278,USA,3208399981,,,50544-000,Restaurants,2003-01-01 00:00:00,,False,NR,0.0,20.0,,False,Micro-small,False,2022-05-24 08:16:00,Search
133888,133888,704,96222858,Carlson Drug,147 2nd St NW,,Ortonville,MN,56278,USA,3208396102,,,50488-000,Pharmacies,1994-01-01 00:00:00,,False,A+,100.0,8.0,0.0,False,Micro-small,False,2022-04-17 08:05:00,Search
133889,133889,704,96222863,Berkner Plumbing & Heating,509 Us Highway 12,,Ortonville,MN,56278,USA,3208393234,,,10003-000,Air Conditioning Contractors & Systems,2006-01-01 00:00:00,,False,NR,0.0,4.0,,False,Micro-small,False,2022-06-15 09:01:00,Search
133890,133890,704,96222895,Bill's Plumbing Heating & Ac,60 Old Highway 12,,Ortonville,MN,56278,USA,3208393429,,,10003-000,Air Conditioning Contractors & Systems,,2016-03-16 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2022-02-16 10:05:00,Search
133891,133891,704,96222918,Kandi-roofing Co,113 S 1st St,,Pennock,MN,56279,USA,3205994171,,,10126-000,Roofing Contractors,1984-01-01 00:00:00,2018-06-28 00:00:00,False,NR,0.0,4.0,,False,Micro-small,False,2021-06-29 03:57:00,Search
133892,133892,704,96223073,Vick Construction,27625 360th St,,Redwood Falls,MN,56283,USA,5076418016,,,10035-000,Contractors - General,2001-01-01 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-04-17 08:05:00,Search
133893,133893,704,96223130,Renville Antiques,104 4th St SE,,Renville,MN,56284,USA,3203293388,,,50626-000,Surplus & Salvage Merchandise,2002-04-01 00:00:00,,False,NR,0.0,4.0,0.0,False,Small,False,2022-03-20 08:19:00,Search
133894,133894,704,96223198,Helgeson Properties,Po Box 487,,Spicer,MN,56288,USA,3207965900,,,60729-000,Real Estate,2002-01-01 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-11-23 09:42:00,Search
