,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
800,704,96018753,Wenzel Engineering Inc,10100 Morgan Ave S,,Minneapolis,MN,55431,USA,9528886516,tclark@wenzelengineering.com,http://www.wenzelengineering.com,60339-000,Engineers - Structural,9/1/1990 0:00,,False,A+,100.0,6.0,,False,Micro-small,False,8/20/2022 8:39,BBB
801,704,96541312,DCI Construction,7794 69th Street Ct S,,Cottage Grove,MN,55016,USA,6514584400,dciconstruction@q.com,https://www.facebook.com/people/DCI-Construction-MN/100057614312152/,10035-000,Contractors - General,6/18/1999 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/8/2022 12:27,BBB
802,704,96104839,Benchmark Electronics-Winona Division,4065 Theurer Blvd,,Winona,MN,55987,USA,5074528932,paula.matzke@bench.com,http://www.bench.com,30132-000,Contract Manufacturing,1/1/1988 0:00,,False,A+,100.0,1199.0,,False,Large,False,1/29/2022 9:44,BBB
803,704,96082827,NatureScape News,52780 145th Pl,,Tamarack,MN,55787,USA,2187682473,,http://www.naturescapenews.com,80502-000,"News Publications - Trade, Association",,,False,A+,100.0,1.0,,False,Micro-small,False,2/6/2022 9:11,BBB
804,704,1000046455,Touchtech Computer Service,1248 Wagonwheel Road ,,Hopkins,MN,55343,USA,6123858905,touchtech@tcsadmin.com,http://www.touchtechcomoputerservice.com,60235-300,Computer Business Services,5/3/2012 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,9/22/2021 4:11,BBB
805,704,96158960,Rock on Enterprises,3100 7th St S,,Waite Park,MN,56387,USA,3202302998,krystal@rockontrucks.com,http://www.rockontrucks.com,70637-000,Trucking - Heavy Hauling,8/21/2001 0:00,,False,A+,100.0,56.0,,False,Micro-small,False,11/1/2022 8:12,BBB
806,704,50002267,Simonson&#39;s Salon & Spa,13950 Grove Dr # 300,,Osseo,MN,55311,USA,7637468180,info@simonsons.com,http://www.simonsons.com,65134-000,Day Spas,10/1/1983 0:00,,False,A+,100.0,100.0,,False,Giant,False,1/14/2023 8:57,BBB
807,704,96368391,Brighton Collectibles,1885 Southdale Ctr,,Minneapolis,MN,55435,USA,9529208430,,http://www.brightoncollectibles.com,50169-000,Collectibles,1/1/2003 0:00,,False,A+,100.0,8.0,0.0,False,Micro-small,False,4/29/2022 8:16,BBB
808,704,96126015,Cruise King LLC,22250 Glynview TRL,,Faribault,MN,55021,USA,5073340250,mail@cruisecontrolking.com,http://www.cruisecontrolking.com/,70632-000,Travel Agencies & Bureaus,7/10/2003 0:00,,False,A+,100.0,3.0,0.0,False,Micro-small,False,3/16/2022 8:51,BBB
809,704,1000016203,"Happy Employees Cleaning, LLC",3230 9th St W Apt 211,,West Fargo,ND,58078,USA,7017936066,justin@happyemployeescleaning.com,https://www.happyemployeescleaning.com/,66002-100,Cleaning Services - Commercial Office,7/7/2017 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/27/2023 9:09,BBB
810,704,96086960,Mortenson Development Inc,700 Meadow Ln N,,Minneapolis,MN,55422,USA,7635222100,bob.solfelt@mortenson.com,http://www.mortenson.com,20061-000,Real Estate Developers,10/6/2000 0:00,,False,A+,100.0,10.0,0.0,False,Micro-small,False,3/3/2022 9:49,BBB
811,704,1000013740,Kreativ Stone & Design LLC,2081 Ellis Ave,,Saint Paul,MN,55114,USA,6516468408,tbohman@kreativstone.com,http://www.kreativstone.com/,00203-000,Quartz,1/28/2015 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/8/2022 12:29,BBB
812,704,96022364,Fury Motorcycle,740 Concord St N,,South Saint Paul,MN,55075,USA,6512518230,tjl@furymotors.com,http://www.furymotorcycle.com,50441-000,Motorcycles - Repairing & Service,1/1/2001 0:00,,False,A+,100.0,6.0,,False,Micro-small,False,1/21/2022 9:34,BBB
