,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
400,704,96385340,Easy Breezy Moves,11200 W 78th St,,Eden Prairie,MN,55344,USA,6122347719,service@easybreezymoves.com,http://www.easybreezymoves.com,10080-000,House & Building Movers,,9/14/2017 0:00,False,NR,0.0,1.0,,False,Micro-small,False,8/2/2022 8:45,BBB
401,704,1000048487,Home Equity Partners,unknown,, Minneapolis,MN,55111,USA,7014049107,Management@homeequitypartner.com,https://www.homeequitypartner.com/,60732-000,Property Management,9/16/2021 0:00,,False,A-,90.42,1.0,,False,Micro-small,False,1/28/2023 8:48,Email
402,704,2000795,Future Sports,4680 Bayside Rd,,Maple Plain,MN,55359,USA,9524726331,,http://www.broomball.com,50608-000,Sporting Goods - Retail,12/5/1983 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,5/18/2022 8:55,BBB
403,704,22002224,LKQ Corp.,26548 Chippendale Ave,,Northfield,MN,55057,USA,6514606166,cmkryzer@lkqcorp.com,http://www.lkqcorp.com,80047-000,Auto Wrecking ,1/1/1987 0:00,,False,NR,0.0,55.0,0.0,False,Small,False,3/23/2021 4:01,BBB
404,704,96381505,"My Legacy, LLC",930 Woodbridge St,,Saint Paul,MN,55117,USA,6513687400,mylegacyllc2011@gmail.com,http://www.angeldounts.com,60485-100,Labor Contractors,7/1/2011 0:00,,False,A+,100.0,2.0,,False,Small,False,8/20/2021 4:25,BBB
405,704,96244489,"Furniture Network of Owatonna, Inc",117 Wilson Dr,,Owatonna,MN,55060,USA,8886945777,info@furnitureprosolutions.com,http://www.furnitureprosolutions.com,60394-000,Furniture Repair & Refinish,5/8/2002 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,7/29/2021 4:37,BBB
406,704,96135096,Morris Veterinary Center,605 W 5th St,,Morris,MN,56267,USA,3205894033,,http://www.morrisvetcenter.com,00222-000,Veterinarians,1/1/2007 0:00,,False,A+,100.0,8.0,,False,Micro-small,False,6/14/2022 8:19,BBB
407,704,1000014400,WavePro LLC,7611 208th St N,,Forest Lake,MN,55025,USA,6128344959,falck7611@q.com,http://www.waveproshock.com/,50083-000,Boat Equipment & Supplies,9/6/2012 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,12/21/2022 9:22,BBB
408,704,1000014977,"Clover Maintenance, Inc.",7229 177th Ave NE,,Forest Lake,MN,55025,USA,6514644489,tim@clovermaintenanaceinc.com,http://Clovermaintenanceinc.com,10095-000,Painting Contractors,12/27/1994 0:00,,True,A+,100.0,9.0,0.0,False,Micro-small,False,9/17/2022 8:23,BBB
409,704,1000034891,Shane Co,"11300 Wayzata Blvd., Suite A",,Minnetonka,MN,55305,USA,9525462900,Tracy_D@wsmcorp.com,http://www.shaneco.com,50367-000,Jewelers - Retail,7/7/1971 0:00,,True,NR,0.0,12.0,0.0,False,Small,False,10/4/2022 8:08,BBB
410,704,96387435,Park Trace Apartments,700 Atlanta Ave,,Decatur,GA,30030,USA,4043710887,mgrparktrace@druckerandfalk.com,https://www.druckerandfalk.com/,85296-200,Senior Housing/Living,6/1/2012 0:00,,False,A+,100.0,5.0,,False,Micro-small,False,8/3/2022 8:42,Email
411,704,96021741,Rainbow Flat Roofing Inc,5014 170th Ln NW,,Andover,MN,55304,USA,7634228008,info@rainbowflatroofing.com,http://www.rainbowflatroofing.com,10126-000,Roofing Contractors,11/1/1998 0:00,11/6/2015 0:00,False,NR,0.0,3.0,,False,Micro-small,False,11/12/2018 4:08,BBB
412,704,96270133,"All American Plumbing & Heating, Inc.",709 4th St E,,Horace,ND,58047,USA,7013565325,josh@aaph.co,https://www.allamericanplumbingandheatingnd.com/,10003-000,Air Conditioning Contractors & Systems,2/1/2002 0:00,,False,A+,100.0,5.0,,False,Small,False,1/7/2023 9:07,BBB
413,704,1000023932,Chanticlear Pizza,11706 Crooked Lake Blvd NW,,Coon Rapids,MN,55433,USA,7637572020,stolzin@chanticlearpizza.com,http://chanticlearpizzagrill.com,50544-000,Restaurants,,,False,A+,97.0,1.0,0.0,False,Micro-small,False,11/12/2021 4:01,BBB
414,704,96595566,Kingswood Security Consulting LLC,1411 Kingswood Ponds Rd,,Eagan,MN,55122,USA,9522974566,info@kingswoodsc.com,https://www.kingswoodsc.com/,60533-000,Management Consultants,11/1/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/22/2022 8:45,BBB
415,704,1000007400,George&#39;s Tire Shop,631 26th Ave E,,Dickinson,ND,58601,USA,7012256221,georgestire@ndsupernet.com,http://www.georgestiredickinson.com/,50659-000,Tire Dealers,7/31/2008 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/16/2023 8:36,BBB
416,704,96012076,Marland Appraisals,121 Happy Acres Dr # 76,,Lutsen,MN,55612,USA,2186637119,marlandh@boreal.org,https://www.boreal.org/,60045-000,Appraisers,1/1/2004 0:00,10/22/2020 0:00,False,NR,0.0,1.0,,False,Micro-small,False,12/11/2020 4:12,Email
417,704,1000022153,Interior Pros LLC,6460 153rd Ln NW,,Ramsey,MN,55303,USA,7632033026,interiorprosllc@gmail.com,https://www.facebook.com/Interior-Pros-LLC-1618589058423476/,50191-000,Countertops,8/28/2008 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/10/2023 8:49,BBB
