,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
146797,146797,704,96543158,Ryan & Sarah Marotz,11338 Jersey Rd,,Minneapolis,MN,55438,USA,9528860203.0,,,60172-100,Coaching - Business,2009-01-01 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-10-11 03:53:00,Search
146798,146798,704,96543159,S & Y Beauty Salon,6 E 27th St,,Minneapolis,MN,55408,USA,6128716388.0,,,60134-000,Beauty Salons,2014-04-30 00:00:00,,False,NR,0.0,,0.0,False,Micro-small,False,2020-11-23 03:56:00,Search
146799,146799,704,96543160,Sandin Construction,17621 6th St NE,,Andover,MN,55304,USA,7634347100.0,,,10035-000,Contractors - General,2012-01-01 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2021-01-10 03:48:00,Search
146800,146800,704,96543162,Scattered Acres Inc,10739 11th Ave NE,,Rochester,MN,55906,USA,5072813417.0,,,60172-100,Coaching - Business,,,False,A+,100.0,1.0,,False,Micro-small,False,2021-09-25 04:01:00,Search
146801,146801,704,96543163,Schafer Real Estate Appraisals,139 Tyler Rd S,,Red Wing,MN,55066,USA,6513882891.0,,,60730-000,Real Estate Appraisers,,,False,A+,100.0,,,False,Micro-small,False,2020-07-16 04:11:00,Search
146802,146802,704,96543165,Region 1,3031 17th St S,,Moorhead,MN,56560,USA,2182362990.0,,,60280-000,Data Processing Service,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-03-22 08:37:00,Search
146803,146803,704,96543166,Reid Rejsa Audio,5317 Byron Ave N,,Minneapolis,MN,55429,USA,6122425299.0,,,80272-000,Electronic Equipment & Supplies - Wholesale & Manufacturers,2014-04-30 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2021-06-27 04:01:00,Search
146804,146804,704,96543167,Rejuve,7641 128th St W,,Apple Valley,MN,55124,USA,6512958832.0,,,60134-000,Beauty Salons,,,False,A+,100.0,,,False,Micro-small,False,2020-07-16 04:11:00,Search
146805,146805,704,96543168,Rendition Audio,160 Wheeler St S,,Saint Paul,MN,55105,USA,6516955552.0,,,50651-000,Television & Radio - Dealers,2014-04-30 00:00:00,,False,NR,0.0,,0.0,False,Micro-small,False,2019-08-05 04:02:00,Search
146806,146806,704,96543169,Christian Restoration Services,1005 Coon Rapids Boulevard Ext NW,,Minneapolis,MN,55433,USA,7639513159.0,,,10035-000,Contractors - General,2011-01-01 00:00:00,2019-10-16 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-10-17 07:54:00,Search
146807,146807,704,96543170,Rhyme Chiropractic Center,104 20th Ave SW Ste 5,,Minot,ND,58701,USA,7018525736.0,,,60205-000,Chiropractors D.C.,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-03-16 08:53:00,Search
146808,146808,704,96543171,Richard Gerard Kopet,43404 201st Ave,,Le Center,MN,56057,USA,5073576354.0,,,60327-000,Employment Contractors - Temporary Help,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-03-16 08:53:00,Search
146809,146809,704,96543172,Richcouchpotato.com,52952 Deerwood Trl,,North Mankato,MN,56003,USA,6127355626.0,,,60771-000,Sales Promotion Service,2014-04-30 00:00:00,,False,NR,0.0,,0.0,False,Micro-small,False,2021-08-17 04:07:00,Search
146810,146810,704,96543173,Richter's Furniture,451 Taft St NE Ste L24,,Minneapolis,MN,55413,USA,6125586431.0,,,50291-000,Furniture - Retail,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-11-08 03:55:00,Search
146811,146811,704,96543174,Rochester Satellite Internet,218 4th St SE,,Rochester,MN,55904,USA,5073160526.0,,,60280-000,Data Processing Service,,2018-05-29 00:00:00,False,NR,0.0,,,False,Micro-small,False,2021-06-01 04:03:00,Search
146812,146812,704,96543175,Ross Gaughan LLC,9980 Irwin Trl,,Montgomery,MN,56069,USA,5073326821.0,,,60172-100,Coaching - Business,2014-04-30 00:00:00,2021-09-13 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-09-15 04:36:00,Search
146813,146813,704,96543176,Premium Sounds & Signal,8440 66th St S,,Cottage Grove,MN,55016,USA,6512075169.0,,,50651-000,Television & Radio - Dealers,2008-01-17 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-03-01 09:57:00,Search
146814,146814,704,96543177,Princeton Union Eagle,208 N Rum River Dr,,Princeton,MN,55371,USA,7633891222.0,,,30418-000,Newspapers,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-03-24 08:32:00,Search
146815,146815,704,96543179,R & G Ortiz Auto Repair,1201 Frost Ave,,Maplewood,MN,55109,USA,6512485869.0,,,60103-000,Auto Repair & Service,2014-04-30 00:00:00,2017-12-11 00:00:00,False,NR,0.0,,0.0,False,Micro-small,False,2020-12-15 04:06:00,Search
146816,146816,704,96543180,R & R Pro Dog Training & Boarding,1809 Sheils Rd,,Carlton,MN,55718,USA,2183841888.0,,,60640-000,Parking Facilities,2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-10-11 03:53:00,Search
146817,146817,704,96543181,Pool & Spa Patrol LLC,5540 150th St SE,,Prior Lake,MN,55372,USA,6123840115.0,,,30663-000,Swimming Pool Manufacturers & Distributors,2006-04-07 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2020-03-06 04:07:00,Search
146818,146818,704,96543183,Professional Solutions,3902 W 50th St,,Minneapolis,MN,55424,USA,9529263921.0,,,60326-000,Employment Agencies,,,False,A+,100.0,,,False,Micro-small,False,2020-07-16 04:11:00,Search
146819,146819,704,96543184,Progressive Interiors Inc,10450 Knight Ave,,Waconia,MN,55387,USA,6127181868.0,,,60470-000,Interior Decorators & Designers,2003-05-02 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-09-27 08:58:00,Search
146820,146820,704,96543185,Prudential Financial Planning,8325 City Centre Dr # 100,,Saint Paul,MN,55125,USA,6517147663.0,,,20045-000,Investment Advisory Service,2014-04-30 00:00:00,2019-01-01 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-01-07 14:13:00,Search
146821,146821,704,96543186,Pupaholic,6204 S Avenue,,Minneapolis,MN,55425,USA,9528549947.0,,,60640-000,Parking Facilities,2014-04-30 00:00:00,2018-06-26 00:00:00,False,NR,0.0,,0.0,False,Micro-small,False,2021-06-29 03:57:00,Search
146822,146822,704,96543188,Rochelle Krings Nar,9704 Oliver Ave N,,Minneapolis,MN,55444,USA,7634934295.0,,,60533-000,Management Consultants,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-08-09 08:29:00,Search
146823,146823,704,96543189,Rood Agency,417 N Riverfront Dr,,Mankato,MN,56001,USA,5073440755.0,,,20080-000,Insurance Services,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-02-23 10:21:00,Search
146824,146824,704,96543190,Royal Oak Graphics,14956 Martin Dr,,Eden Prairie,MN,55344,USA,9529341738.0,,,60065-000,Artists - Commercial,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-02-23 10:21:00,Search
146825,146825,704,96543191,"Rusch, Colleen K",6845 Lee Ave N,,Brooklyn Center,MN,55429,USA,7635690300.0,,,60971-000,Health & Medical - General,2014-04-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-06 09:12:00,Search
146826,146826,704,96543192,Ryan&#39;s Automotive & Truck,3175 Spruce St,,Little Canada,MN,55117,USA,6517664601.0,,,60103-000,Auto Repair & Service,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-07-21 08:46:00,Search
146827,146827,704,96543193,S G Pavlak Construction Inc,2800 63rd Ave N,,Minneapolis,MN,55430,USA,7635667919.0,,,10035-000,Contractors - General,,,False,A+,100.0,,,False,Micro-small,False,2020-07-16 04:11:00,Search
146828,146828,704,96543194,Sabre Holdings Corp,17566 Ideal Ave,,Silver Lake,MN,55381,USA,3203272747.0,,,20017-000,Holding Companies,2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-11-14 03:55:00,Search
146829,146829,704,96543195,Prairie Carpet Service,1852 16th St SW Lot 66,,Minot,ND,58701,USA,7018332884.0,,,85306-100,Upholstery & Carpet Cleaning,2015-01-26 00:00:00,,False,B-,80.0,1.0,0.0,False,Micro-small,False,2022-03-22 08:37:00,Search
146830,146830,704,96543196,Prairie Locksmiths,7924 Mitchell Rd,,Eden Prairie,MN,55344,USA,9523148648.0,,,60522-000,Locks & Locksmiths,,2017-12-06 00:00:00,False,NR,0.0,,,False,Micro-small,False,2020-12-08 04:09:00,Search
146831,146831,704,96543197,Prior Lake American Newspaper,14093 Commerce Ave NE Ste 400,,Prior Lake,MN,55372,USA,9524476669.0,,,30418-000,Newspapers,,,False,A+,100.0,,,False,Micro-small,False,2020-07-16 04:11:00,Search
146832,146832,704,96543199,Proulx,20 W 78th St,,Chanhassen,MN,55317,USA,9523566024.0,,,60729-102,Real Estate Agents,2014-04-30 00:00:00,2019-01-01 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-01-07 14:13:00,Search
146833,146833,704,96543200,Public Health Insights,4811 Folwell Dr,,Minneapolis,MN,55406,USA,6126261799.0,,,60971-000,Health & Medical - General,,,False,A+,100.0,,,False,Micro-small,False,2020-07-16 04:11:00,Search
