,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
0,704,96360886,"Grant&#39;s Precision Painting, LLC",2160 Grimm Rd,,Chaska,MN,55318,USA,6128608102,grantsprecisionpainting@gmail.com,http://www.grantsprecisionpainting.com,10095-000,Painting Contractors,4/28/2011 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/29/2022 9:07,BBB
1,704,96504270,"SC Cleaning Services, LLC",13000 Harriet Ave S Apt 126,,Burnsville,MN,55337,USA,9524056023,sccleaningservices@gmail.com,http://www.sccleaningservices.com,66002-000,Cleaning Services,7/15/2013 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,11/3/2021 4:22,BBB
2,704,1000047607,JRS Heart Foundation,4308 29th Ave south,,Minneapolis,MN,55406,USA,7152239891,joshua.r.rolfwalz@gmail.com,https://jrsheartfoundation104.workplace.com/profile.php?id=100070153208120,88100-000,Employee Assistance Programs,,,False,A,94.0,1.0,,False,Micro-small,False,2/5/2023 8:42,BBB
3,704,1000001500,YMCA--Bismarck,1608 N Washington St.,,Bismarck,ND,58501,USA,7012551525,,http://www.bismarckymca.org/,60430-100,Fitness Centers,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/15/2022 9:02,BBB
4,704,96119794,ARP Wave LLC,7721 145th St W,,Saint Paul,MN,55124,USA,9524319708,onlinesupport@arpwave.com,http://www.arpwave.com,60971-000,Health & Medical - General,1/1/2000 0:00,,False,A+,100.0,35.0,0.0,False,Small,False,2/8/2023 9:28,BBB
5,704,14000649,Wildlife Management Services,7441 Jolly Ln,,Brooklyn Park,MN,55428,USA,7634249111,wildlifemanagementservicesmn@gmail.com,http://www.wmsmn.com,70517-100,Animals - Nuisance Control - Trapping,1/1/1989 0:00,,True,A+,100.0,15.0,,False,Small,False,11/18/2022 9:13,BBB
6,704,96355563,A Weise Choice Construction LLC,4576 Embassy Cir NE,,Prior Lake,MN,55372,USA,6125995169,awcconstruction@gmail.com,http://www.awcconstruction.com/,10035-000,Contractors - General,9/27/2011 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/20/2021 4:25,BBB
7,704,96503332,All in One Painting & Decoration,111 2nd Ave NW,,Hankinson,ND,58041,USA,2183293181,allinone@gomoorhead.com,http://www.allinonepaintingnd.com,10095-300,Painters - Commercial or Residential,,,False,A+,100.0,1.0,,False,Micro-small,False,9/1/2022 8:30,BBB
8,704,96126284,Salon Capri,200 8th Ave NW Ste 8,,Faribault,MN,55021,USA,5073320585,salon.capri@live.com,http://saloncaprimn.com,60134-000,Beauty Salons,2/15/1999 0:00,,False,A+,100.0,6.0,0.0,False,Small,False,3/22/2022 8:36,BBB
9,704,96089337,WC Construction,4511 Sandywood Ct SE,,Rochester,MN,55904,USA,5072520987,wayne@wcconstruct.com,http://www.wcconstruct.com,10177-000,Construction & Remodeling Services,1/1/1999 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,4/8/2021 4:07,BBB
10,704,96293285,"Clearwater Recreation, LLC",329 E Lake St,,Waconia,MN,55387,USA,9524421820,clearwaterrec@msn.com,http://www.clearwaterrecreation.com,30509-000,Playground Equipment,5/5/2004 0:00,8/4/2021 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/1/2023 8:57,BBB
11,704,96030300,"Grainger, Inc.",4444 Round Lake Rd W,,Arden Hills,MN,55112,USA,6516365737,brn.497@grainger.com,http://grainger.com,80201-100,Construction Equipment Sales / Services,1/1/1927 0:00,,False,A+,100.0,14.0,,False,Small,False,12/27/2022 8:49,BBB
12,704,1000044497,"Brad Aschnewitz Construction, LLC",320 W Adolphus Ave,,Fergus Falls,MN,56537,USA,2182054408,bradaschnewitz@yahoo.com,https://www.facebook.com/bradaschnewitzconstructuon/,10035-000,Contractors - General,10/23/2020 0:00,,True,A,94.64,4.0,,False,Micro-small,False,8/31/2022 9:00,BBB
13,704,96550729,Toonstra Psychological Services,107 SE 10th St STE 2,,Grand Rapids,MN,55744,USA,2182597424,jeff@paulbunyan.net,https://www.paulbunyan.net/,60710-000,Psychologists,7/16/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2/18/2022 9:11,Email
14,704,1000018827,Amazing Lash Studio Woodbury,530 Woodbury Dr Ste 100,,Woodbury,MN,55125,USA,6515643200,woodbury@amazinglashstudio.com,https://www.amazinglashstudio.com/studios/mn/minneapolis/woodbury,60603-000,Nail Salons,11/16/2016 0:00,,False,A,94.0,1.0,0.0,False,Micro-small,False,5/19/2022 8:39,BBB
15,704,24000605,"Dents Unlimited, Inc.",110 Roosevelt Rd,,Saint Cloud,MN,56301,USA,3206560113,scott@dentsunlimitedinc.com,http://www.dentsunlimitedinc.com/,60094-000,Auto Body Repair & Painting,6/15/1992 0:00,,False,A+,100.0,5.0,0.0,False,Small,False,3/16/2022 8:49,BBB
16,704,1000023848,Beartooth Forestry LLC,3800 W 104th St.,,Bloomington,MN,55431,USA,6122501224,nate@beartoothforestry.com,https://beartoothforestry.com/,00219-000,Tree Service,6/25/2018 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/27/2023 9:09,BBB
17,704,96162759,Ries Electric Company,777 Concord St N,,South Saint Paul,MN,55075,USA,6514512238,johnr@rieselectric.com,http://www.rieselectric.com,10049-000,Electricians,1/1/1953 0:00,,False,A+,100.0,15.0,,False,Small,False,5/11/2022 8:36,BBB
18,704,96035109,Villeroy & Boch USA Inc,3A S Middlesex Ave,,Monroe Township,NJ,8831,USA,6095784300,,http://www.villeroy-boch.com,50310-000,Gift Shops,1/1/1997 0:00,,False,A+,100.0,30.0,0.0,False,Small,False,8/4/2022 8:30,BBB
19,704,96580965,"ADB Advertising, LLC",2766 Commerce Dr NW,Ste D,Rochester,MN,55901,USA,5079900670,alex@adb-studios.com,https://www.facebook.com/ADBStudios/?fref=ts,60010-000,Advertising Agencies & Counselors,3/28/2012 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,2/5/2023 8:42,BBB
