,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,StatusCode
0,92699,704,96538973,Benjamin Smith Computer Support,252 Fern Ave,,Red Wing,MN,55066,USA,5072616903.0,dsmith252@hbci.com,https://www.hbci.com/,60235-000,"Computers Hardware, Software & Services",2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-02-05 09:32:00,Email,200.0
1,92702,704,96539043,Bakes Repair,6934 11th Ave SW,,Rochester,MN,55902,USA,5072268118.0,bakes-repair@live.com,https://www.live.com/,60103-000,Auto Repair & Service,2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-02-01 09:32:00,Email,200.0
2,92704,704,96539250,Cgb Diversified Ins Service,4201 38th St S,,Fargo,ND,58104,USA,7013566250.0,crystal.vold@cgb.com,https://www.cgb.com/,20022-000,Insurance - Crop,2010-01-11 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-09-24 09:02:00,Email,200.0
3,92709,704,96539311,Timothy Meyer Insurance Inc,891 Highway 96 W,,Saint Paul,MN,55126,USA,6514821140.0,tim@timlmeyer.com,https://www.timlmeyer.com/,20019-200,Insurance Agents,2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-10-20 08:10:00,Email,200.0
4,92712,704,96539339,Marrtech Manufacturing,1510 S Minnesota St.,,New Ulm,MN,56073,USA,5073541888.0,Cody.lodes@marrtechmfg.com,https://www.marrtechmfg.com/,30366-000,Machine Shops,1990-01-01 00:00:00,,False,A+,100.0,4.0,,False,Micro-small,False,2021-10-23 03:59:00,Email,200.0
5,92722,704,96539677,Rechtzigel Construction,8110 County 17 Blvd,,Cannon Falls,MN,55009,USA,5072633947.0,rex5@frontiernet.net,https://www.frontiernet.net/,10035-000,Contractors - General,2009-03-04 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2020-03-12 04:12:00,Email,200.0
6,92725,704,96539822,J T Egner Construction,17595 Kenwood Trl,,Lakeville,MN,55044,USA,9529850582.0,jegner@jtegner.com,https://www.jtegner.com/,10035-000,Contractors - General,2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-06-07 08:10:00,Email,200.0
7,92729,704,96540021,Kasson Auto Repair,19 N Mantorville Ave,,Kasson,MN,55944,USA,5076344733.0,kassonautorepair@kmtel.com,https://www.kmtel.com/,60103-000,Auto Repair & Service,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-07-08 12:27:00,Email,200.0
8,92732,704,96540271,West Concord Collision,250 State St N,,West Concord,MN,55985,USA,5075271030.0,tim@westconcordcollision.com,https://www.westconcordcollision.com/,60094-000,Auto Body Repair & Painting,2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-09-24 09:02:00,Email,200.0
9,92736,704,96540373,Kathy M. Smith / Remax Results,1224 Cypress Dr W,,Annandale,MN,55302,USA,6125329131.0,kathymsmith@remax.net,https://www.remax.net/,60734-000,Real Estate Schools,2014-04-30 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-07-08 12:27:00,Email,200.0
