,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
120961,120961,704,96092004,Melchert Walkky Inc,367 Kellogg Blvd E,,Saint Paul,MN,55101,USA,6512289564.0,,,00154-000,Landscape Architects,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-08-05 08:37:00,Search
120962,120962,704,96092010,Concrete Idea Inc,5295 Ranchview Ln N,,Minneapolis,MN,55446,USA,6128894241.0,,,00157-000,Lawn Maintenance,2005-01-01 00:00:00,2021-08-04 00:00:00,False,NR,0.0,9.0,,False,Micro-small,False,2021-08-06 04:08:00,Search
120963,120963,704,96092012,"Clever Name Contracting, LLC",9705 45th Ave N,,Plymouth,MN,55441,USA,6126181535.0,,,00157-000,Lawn Maintenance,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-11-10 09:22:00,Search
120964,120964,704,96092020,Noble Landscape and Garden Center,2456 125th Ave NE,,Blaine,MN,55449,USA,7638627218.0,,,00157-000,Lawn Maintenance,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-04-08 08:23:00,Search
120965,120965,704,96092021,Minnesota Cleaner Living Environmental Systems & Services,5228 30th Ave S,,Minneapolis,MN,55417,USA,6127298463.0,,,00157-000,Lawn Maintenance,2008-05-19 00:00:00,,False,A+,100.0,1.0,,False,Micro-small,False,2022-04-08 08:23:00,Search
120966,120966,704,96092024,Keli Contractors,6640 380th Ct,,North Branch,MN,55056,USA,6512477761.0,,,00157-000,Lawn Maintenance,,2018-10-05 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2021-10-12 03:56:00,Search
120967,120967,704,96092026,Minnesota Masonry Restoration,24126 Fawn Ct NE,,Stacy,MN,55079,USA,6126180152.0,,,10089-000,Mason Contractors,2006-02-03 00:00:00,,False,A+,97.0,1.0,,False,Micro-small,False,2021-10-15 04:11:00,Search
120968,120968,704,96092030,Mankato Brick,54090 Loren Dr,,Mankato,MN,56001,USA,5073457773.0,,,50101-000,"Brick - Concrete, Pumice",2008-05-19 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2020-09-11 04:08:00,Search
120969,120969,704,96092033,Wioody's Creative Landscaping LLC,4550 40th St S,,Saint Cloud,MN,56301,USA,7633006146.0,,,00157-000,Lawn Maintenance,2008-05-19 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-01-09 09:15:00,Search
120970,120970,704,96092038,Lighting by Design,9470 Hudson Rd Ste 300,,Woodbury,MN,55125,USA,6517029579.0,,,50394-000,Lighting Fixtures - Retail,,2016-04-28 00:00:00,False,NR,0.0,,,False,Micro-small,False,2019-04-29 04:00:00,Search
120971,120971,704,96092065,Best Price Siding,PO Box 1117,,Watertown,MN,55388,USA,6125324820.0,,,10135-000,Siding Contractors,2007-01-01 00:00:00,,False,A+,100.0,1.0,,False,Micro-small,False,2022-12-03 09:06:00,Search
120972,120972,704,96092084,Stan's Line Cleaning,9050 181st Ave NW,,Anoka,MN,55303,USA,7637533056.0,,,60793-000,Septic Tanks & Systems Cleaning,2007-01-01 00:00:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2021-12-14 04:08:00,Search
120973,120973,704,96092088,Pizza 'N' Pasta,584 Marschall Rd,,Shakopee,MN,55379,USA,9524960000.0,,,50544-000,Restaurants,2008-05-20 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2020-11-27 03:57:00,Search
120974,120974,704,96092091,"Distinctive Images by Jason, Inc.",3511 Beard Curv,,Minneapolis,MN,55431,USA,9528842001.0,,,60658-000,Photographers - Portrait,1985-07-22 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-08-03 08:41:00,Search
120975,120975,704,96092094,Midnight Photography,"134 W. 3rd Street,",,Red Wing,MN,55066,USA,6513886779.0,,,60657-000,Photographers - Commercial,2008-05-20 00:00:00,,False,NR,0.0,,0.0,False,Micro-small,False,2019-07-08 04:08:00,Search
120976,120976,704,96092097,Cornerstone Photography,13495 20th St,,Bowlus,MN,56314,USA,3206297318.0,,,60657-000,Photographers - Commercial,,,False,NR,0.0,1.0,,False,Micro-small,False,2022-03-25 08:40:00,Search
120977,120977,704,96092113,Photo Express Portrait Studio,507 NW 5th St,,Grand Rapids,MN,55744,USA,2183268083.0,,,60658-000,Photographers - Portrait,1996-01-01 00:00:00,,False,A+,100.0,4.0,,False,Micro-small,False,2021-10-01 04:12:00,Search
120978,120978,704,96092129,Lerus Financial,120 W Sweet Ave,,Bismarck,ND,58504,USA,7012500817.0,,,20085-000,Financial Services,,2018-10-19 00:00:00,False,NR,0.0,,,False,Micro-small,False,2018-10-20 04:02:00,Search
120979,120979,704,96092136,Agrivision Financial Service Co,PO Box 230,,Fargo,ND,58107,USA,7012376000.0,,,20085-000,Financial Services,1994-01-01 00:00:00,,False,A+,100.0,1.0,,False,Micro-small,False,2021-12-12 04:01:00,Search
120980,120980,704,96092144,American Capital Investments,1900 Burnt Boat Dr Ste 102,,Bismarck,ND,58503,USA,7012221640.0,,,20085-000,Financial Services,,2017-03-14 00:00:00,False,NR,0.0,,,False,Micro-small,False,2020-03-16 03:53:00,Search
120981,120981,704,96092199,Strom Studio,507 N Cleveland Ave,,Fergus Falls,MN,56537,USA,2189983336.0,,,60658-000,Photographers - Portrait,2005-01-01 00:00:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2021-12-12 04:01:00,Search
120982,120982,704,96092205,Permission Interactive Inc,6070 Mission Gorge Rd Ste 1,,San Diego,CA,92120,USA,6198581333.0,,,80010-000,Advertising Specialties,2002-01-01 00:00:00,,False,A+,100.0,30.0,,False,Small,False,2021-08-11 04:45:00,Search
120983,120983,704,96092224,Salon Tuscan,4097 Cedar St,,Monticello,MN,55362,USA,7632954450.0,,,60134-000,Beauty Salons,1997-01-01 00:00:00,,False,A+,100.0,8.0,0.0,False,Micro-small,False,2022-02-17 09:42:00,Search
120984,120984,704,96092233,Veridian,100 S 5th St Ste 1790,,Minneapolis,MN,55402,USA,,,,90018-000,Advance Fee Loan Brokers,,2021-04-06 00:00:00,False,NR,0.0,,,False,Micro-small,False,2021-04-08 04:08:00,Search
120985,120985,704,96092242,"MGL Fitness, Inc.",314 N Monroe Ave,,Green Bay,WI,54301,USA,9204352770.0,,,50608-000,Sporting Goods - Retail,1990-01-01 00:00:00,,False,A+,100.0,8.0,,False,Micro-small,False,2022-08-04 08:30:00,Search
120986,120986,704,96092246,Feelfree Kayak USA,2326 Pike Lake Rd,,Shakopee,MN,55379,USA,9522335223.0,,,50608-000,Sporting Goods - Retail,,2009-01-05 00:00:00,False,NR,0.0,,,False,Micro-small,False,2018-03-19 04:34:00,Search
120987,120987,704,96092253,Tesoro Gas Station,1520 24th Ave SW,,Minot,ND,58701,USA,7018525781.0,,,50567-000,Service Stations - Gasoline & Oil,1995-01-01 00:00:00,,False,A+,100.0,12.0,0.0,False,Small,False,2021-12-12 04:01:00,Search
120988,120988,704,96092254,Highland Small Engine & Repair,933 Atlantic St,,Saint Paul,MN,55106,USA,6516991388.0,,,85340-000,Small Engine Repair,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-04-08 08:23:00,Search
120989,120989,704,96092256,W-Trek Outfitters,1119 E 7th St,,Duluth,MN,55805,USA,2187223593.0,,,50608-000,Sporting Goods - Retail,2008-05-21 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-11-23 06:33:00,Search
120990,120990,704,96092262,Going Under Dive Center,10024 County Road 81,,Maple Grove,MN,55369,USA,7634248717.0,,,50608-000,Sporting Goods - Retail,1989-01-01 00:00:00,,False,A+,100.0,6.0,,False,Micro-small,False,2022-06-16 08:33:00,Search
120991,120991,704,96092279,The Armstrong Corp,513 Elks Dr,,Dickinson,ND,58601,USA,7012270811.0,,,20057-000,Oil Property Management,1979-01-04 00:00:00,,False,A+,100.0,4.0,,False,Micro-small,False,2020-05-22 03:48:00,Search
