,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
1600,704,96544073,Residential Alternatives Inc,3801 W Broadway Ave,,Minneapolis,MN,55422,USA,6125226363,,https://www.yellowpages.com/minneapolis-mn/mip/residential-alternatives-inc-480763409,61006-000,Psychiatrists & Psychiatric Services,4/30/2014 0:00,,False,A+,100.0,,0.0,False,Micro-small,False,12/13/2020 3:56,Search
1601,704,96544290,"Torghele, Cheryl A OD",8500 Normandale Lake Blvd Ste 1710,,Bloomington,MN,55437,USA,9528317761,,https://intermountainhealthcare.org/find-a-doctor/t/torghele-cheryl-a/,60629-000,Optometrists,4/30/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,11/30/2021 4:07,Search
1602,704,96544527,Serenity Choice Homecare,33459 Csah 19,,South Haven,MN,55382,USA,3203988335,,https://npino.com/home-health/1750691903-serenity-choice-homecare/,60441-000,Home Health Services,4/30/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/10/2022 9:26,Search
1603,704,96543959,New Health Solutions,5209 Duncraig Rd,,Minneapolis,MN,55436,USA,9529228900,,https://www.minnhealth.com/,60971-000,Health & Medical - General,4/30/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/20/2022 8:10,Search
1604,704,96544404,Jp's Lawn Service,115 Spring Valley Cir,,Minneapolis,MN,55420,USA,9528849288,,https://www.dnb.com/business-directory/company-profiles.jps_lawn_service.e7f65c75d3087b78055ed2d240d8f228.html,00155-000,Landscape Contractors,,,False,A+,100.0,,,False,Micro-small,False,7/3/2020 4:12,Search
1605,704,96545100,Cfw Furniture,2497 7th St W,,Saint Paul,MN,55116,USA,6516983988,,https://furniturestoresusa.com/cfw-furniture-saint-paul-mn,50291-000,Furniture - Retail,4/30/2014 0:00,8/30/2019 0:00,False,NR,0.0,,0.0,False,Micro-small,False,8/31/2019 4:14,Search
1606,704,96544333,Jeremy J Uzzell Construction,2127 93rd Way,,Minneapolis,MN,55444,USA,7633154586,,https://www.yellowpages.com/minneapolis-mn/mip/jeremy-j-uzzell-construction-25745827,10035-000,Contractors - General,,1/16/2018 0:00,False,NR,0.0,,,False,Micro-small,False,1/19/2021 3:46,Search
1607,704,96544837,M & J Horseshoe Supply Inc,5646 37th St SE,,Rockford,MN,55373,USA,7639726263,,https://opencorporates.com/companies/us_mn/a4405f43-9dd4-e011-a886-001ec94ffe7f,30289-000,Horseshoe Equipment & Supplies,6/10/1990 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,11/22/2022 8:45,Search
1608,704,96544561,Titan Contracting of Harwood,203 Ted Ave,,Harwood,ND,58042,USA,7014920478,,https://www.thebluebook.com/iProView/1078123/titan-contracting-of-harwood/general-contractors/%7Burl%7D,10035-000,Contractors - General,,,False,A+,100.0,1.0,,False,Micro-small,False,12/15/2022 9:21,Search
1609,704,96543887,"Durensky, Roger",1900 44th St S Ste 6020,,Fargo,ND,58103,USA,7014992516,,https://www.linkedin.com/pub/dir/+/Durensky,60729-102,Real Estate Agents,4/30/2014 0:00,8/26/2021 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,8/29/2021 4:06,Search
1610,704,96544868,Paint Shop,1271 W Knife River Rd,,Two Harbors,MN,55616,USA,2185257912,,https://www.superpages.com/two-harbors-mn/bpp/paint-shop-25675719,80536-000,Paint - Wholesale & Manufacturers,3/31/1997 0:00,,False,NR,0.0,,0.0,False,Micro-small,False,7/20/2021 4:05,Search
1611,704,96545261,Bsi Secured Lending,900 Ids Ctr,,Minneapolis,MN,55402,USA,6123495273,,https://www.manta.com/c/mbdc703/bsi-secured-lending,20079-000,Credit Services,4/30/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,9/9/2021 4:03,Search
1612,704,96545121,Basa Properties,16410 149th St SE,,Big Lake,MN,55309,USA,7632635661,,https://www.yellowpages.com/big-lake-mn/mip/basa-properties-458703934,60729-102,Real Estate Agents,4/30/2014 0:00,4/1/2021 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/1/2022 9:32,Search
1613,704,96545028,Bare It Inc,11426 Hazelwood Ln N,,Champlin,MN,55316,USA,7634275909,,https://6sense.com/company/bare-it-beauty-inc/627b16457925586bf0257ac5,60172-100,Coaching - Business,8/10/2007 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,9/18/2021 4:12,Search
1614,704,96544147,Interstate Marketing Group Inc,8120 Penn Ave S Ste 100T,,Minneapolis,MN,55431,USA,9528549234,,https://www.manta.com/c/mmqzmzf/interstate-marketing-group-inc,60729-102,Real Estate Agents,4/30/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/23/2021 6:33,Search
1615,704,96544922,MV Tech Service Inc,6641 Nez Perce Dr,,Chanhassen,MN,55317,USA,9524741780,,http://www.mv-tech.net/,85272-000,Information Technology Services,,,False,A+,100.0,1.0,,False,Micro-small,False,12/7/2022 9:09,Search
1616,704,96544243,"Johnson, Howard E DC",804 Freeport Ave NW Ste A,,Elk River,MN,55330,USA,7634413830,,https://powerwithinchiroofelkriver.com/,60205-000,Chiropractors D.C.,,,False,A+,100.0,,,False,Micro-small,False,7/3/2020 4:12,Search
1617,704,96545305,Chantrey Capital Advisors Inc,3569 Woodland Ct,,Saint Paul,MN,55123,USA,6514545030,,https://www.manta.com/c/mw28ch8/chantrey-capital-advisors-inc,20085-200,Investment Management,,3/12/2019 0:00,False,NR,0.0,,,False,Micro-small,False,3/13/2019 5:01,Search
1618,704,96544862,Minnesota Geoservices Inc,1450 Carroll Ave,,Saint Paul,MN,55104,USA,6516468975,,https://www.linkedin.com/company/minnesota-geoservices-inc.,60103-000,Auto Repair & Service,4/30/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/11/2021 3:53,Search
1619,704,96543910,Lisa P3 Hair Design,4332 Shady Oak Rd S,,Hopkins,MN,55343,USA,9529340000,,https://us.sulekha.com/hopkins-mn/beautician/p3-hair-design-790131,60134-000,Beauty Salons,,,False,A+,100.0,,,False,Micro-small,False,7/9/2020 4:10,Search
