,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
108043,108043,704,14000153,Meyer Violin Shop,3300 W 44th St,,Minneapolis,MN,55410,USA,6129290523,,,50711-000,Violins,1990-10-29 00:00:00,2021-04-02 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2021-04-20 04:01:00,Search
108044,108044,704,14000155,Hypro Corporation,375 5th Ave NW,,Saint Paul,MN,55112,USA,6516339300,,,80590-000,Pumps - Wholesale & Manufacturers,1990-10-29 00:00:00,2016-04-28 00:00:00,False,NR,0.0,240.0,,False,Small,False,2019-04-29 04:01:00,Search
108045,108045,704,14000177,"Albert Lea Newspaper, Inc.",808 W Front St,,Albert Lea,MN,56007,USA,5073731411,,,30418-000,Newspapers,1897-01-01 00:00:00,,False,NR,0.0,25.0,,False,Small,False,2022-01-25 09:40:00,Search
108046,108046,704,14000198,Design Jewelers Ltd,1410 Lucia Ave,,Fairmont,MN,56031,USA,5072389077,,,50367-000,Jewelers - Retail,1990-11-26 00:00:00,,False,NR,0.0,2.0,,False,Micro-small,False,2022-01-24 09:18:00,Search
108047,108047,704,14000222,Home Interiors,8845 Hunters Way,,Saint Paul,MN,55124,USA,7634216094,,,61029-000,Party Plans - In-Home,1999-03-12 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-10-15 04:11:00,Search
108048,108048,704,14000338,Klingelhutz Realty Inc,2970 Chaska Blvd,,Chaska,MN,55318,USA,9524483750,,,60729-000,Real Estate,1977-04-29 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-10-15 04:11:00,Search
108049,108049,704,14000365,Chasewood Gates Apts,6100 Chasewood Pkwy,,Hopkins,MN,55343,USA,9529310520,,,60733-000,Real Estate Rental Service,1989-01-01 00:00:00,,False,A+,100.0,4.0,,False,Micro-small,False,2021-12-15 04:24:00,Search
108050,108050,704,14000381,Auction Advantage,3941 Unity Ave N,,Minneapolis,MN,55422,USA,7635354656,,,60088-000,Auctioneers,1991-05-06 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-04-05 08:22:00,Search
108051,108051,704,14000385,Fine Management of Minnesota,6215 W Lake St,,Minneapolis,MN,55416,USA,9522851149,,,60732-000,Property Management,1986-01-01 00:00:00,,False,NR,0.0,25.0,0.0,False,Small,False,2022-09-24 09:02:00,Search
108052,108052,704,14000396,"Delmar Homes, Inc.",13760 Goldenrod St NW,,Andover,MN,55304,USA,7637541812,,,10078-000,Home Builders,1990-01-01 00:00:00,2016-04-25 00:00:00,False,NR,0.0,,,False,Micro-small,False,2019-04-29 04:00:00,Search
108053,108053,704,14000401,Gear Properties,3108 65th St. E. #208,,Inver Grove Heights,MN,55076,USA,6514500072,,,60732-000,Property Management,1977-04-01 00:00:00,,False,A+,100.0,8.0,,False,Micro-small,False,2022-08-25 08:34:00,Search
108054,108054,704,14000402,Jeffrey James Construction,80 Minnesota Ave,,Saint Paul,MN,55117,USA,6517721714,,,10078-000,Home Builders,1979-01-01 00:00:00,2016-05-25 00:00:00,False,NR,0.0,,,False,Micro-small,False,2021-05-05 04:26:00,Search
108055,108055,704,14000411,"Christensen Movers, Harold",2736 12th Ave S,,Minneapolis,MN,55407,USA,6128749065,,,70571-000,Movers,,,False,A+,100.0,1.0,,False,Micro-small,False,2021-11-10 04:13:00,Search
108056,108056,704,14000470,Evergreen Memorial Gardens,5100 Douglas Dr N,,Minneapolis,MN,55429,USA,7635338643,,,61013-000,Funeral Related Services,,,False,A+,100.0,,,False,Micro-small,False,2021-06-12 06:06:00,Search
108057,108057,704,14000540,House of Vacuums,3551 Coon Rapids Blvd NW,,Minneapolis,MN,55433,USA,7634219090,,,50016-000,Appliances - Major - Dealers,1984-01-01 00:00:00,,False,A+,100.0,1.0,,False,Micro-small,False,2022-05-27 08:35:00,Search
108058,108058,704,14000552,Cox Hearing Services,35457 Riverwood Ct,,Crosslake,MN,56442,USA,2189637475,,,50337-000,Hearing Aids & Assistive Devices,,,False,NR,0.0,1.0,,False,Micro-small,False,2022-06-14 08:18:00,Search
108059,108059,704,14000592,Good Shepherd Care Center,1995 E Rum River Dr S,,Cambridge,MN,55008,USA,6517744000,,,60617-000,Nursing Homes,,,False,A+,100.0,,,False,Micro-small,False,2021-08-15 04:22:00,Search
108060,108060,704,14000612,Great Clips,1975 Whitaker St,,Saint Paul,MN,55110,USA,6514292444,,,60134-000,Beauty Salons,,,False,C+,77.0,1.0,,False,Micro-small,False,2022-12-15 09:20:00,Search
108061,108061,704,14000770,Druk Upholstering,3627 Colfax Ave N,,Minneapolis,MN,55412,USA,6125217661,,,60915-000,Upholsterers,1992-03-11 00:00:00,,False,A+,100.0,1.0,,False,Micro-small,False,2022-02-17 09:43:00,Search
108062,108062,704,14000818,"Gail Griffin Obbarius - The Estate Sale Company, Inc.",4312 Brook Ave S,,Minneapolis,MN,55424,USA,9529294805,,,60350-000,"Estates - Appraisals, Sales & Auctions",1977-01-01 00:00:00,2016-06-22 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2019-06-24 04:05:00,Search
108063,108063,704,14000845,Captive Images Hair Salon,1003 Southview Blvd,,South Saint Paul,MN,55075,USA,6514511516,,,60420-120,Hair Replacement,1984-01-01 00:00:00,,False,A+,100.0,7.0,,False,Micro-small,False,2022-07-08 12:20:00,Search
108064,108064,704,14000897,Ace World Wide Moving & Storage,327A Old Highway 8 NW,,New Brighton,MN,55112,USA,6512883977,,,70571-000,Movers,1973-01-17 00:00:00,2016-10-27 00:00:00,False,NR,0.0,6.0,0.0,False,Micro-small,False,2022-09-13 08:17:00,Search
108065,108065,704,14000906,A M Construction Of Hibbing,1529 E 40th St,,Hibbing,MN,55746,USA,2182621817,,,10078-000,Home Builders,1984-01-01 00:00:00,,False,NR,0.0,9.0,,False,Micro-small,False,2022-09-21 10:05:00,Search
108066,108066,704,14000924,Cybex/Owatonna,151 24th Ave NW,,Owatonna,MN,55060,USA,5074550217,,,50244-100,Exercise Equipment & Machines - Service & Repair ,,,False,A+,100.0,1.0,,False,Micro-small,False,2022-01-14 09:29:00,Search
108067,108067,704,14000969,Al's Boarding Kennels,2085 Valencour Cir,,Saint Paul,MN,55120,USA,6514526809,,,00153-000,Pet Boarding & Kennels,1992-08-14 00:00:00,2015-06-03 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2018-07-09 03:59:00,Search
108068,108068,704,14000974,A & A Construction,18372 Lafayette Way,,Lakeville,MN,55044,USA,9524312008,,,10177-000,Construction & Remodeling Services,1986-01-01 00:00:00,2016-04-18 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2019-04-22 04:07:00,Search
108069,108069,704,14000979,Bell Motel,1122 N State St,,Fairmont,MN,56031,USA,6517774114,,,60447-000,Hotels,1992-08-24 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2021-04-18 03:57:00,Search
108070,108070,704,14001006,Amy's Bridal Center Inc.,9911 Lyndale Ave S,,Minneapolis,MN,55420,USA,9528811617,,,50730-000,Wedding Supplies & Services,1993-10-15 00:00:00,2002-06-03 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2018-04-19 05:01:00,Search
108071,108071,704,14001015,New Perspective LLC,PO Box 6137,,Minneapolis,MN,55406,USA,6127245943,,,10035-000,Contractors - General,1986-01-01 00:00:00,2017-03-20 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2017-08-24 04:02:00,Search
108072,108072,704,14001025,Finishing Touch Painting,10664 Vernon Street,,Minneapolis,MN,55433,USA,7634229331,,,10095-000,Painting Contractors,,2016-05-03 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2022-06-15 09:01:00,Search
108073,108073,704,14001041,Auto Tech,7900 Nicollet Ave S,,Minneapolis,MN,55420,USA,9528885330,,,60103-000,Auto Repair & Service,1992-10-06 00:00:00,,False,A+,100.0,3.0,0.0,False,Micro-small,False,2022-11-30 09:26:00,Search
108074,108074,704,14001102,"Gilbert Electric, Inc.",3850 Old Midway Rd,,Duluth,MN,55810,USA,2187297874,,,10049-000,Electricians,1979-01-01 00:00:00,,False,NR,0.0,1.0,,False,Micro-small,False,2022-08-22 08:19:00,Search
108075,108075,704,14001117,Bjorlin Plumbing & Heating   J L,1561 Bunker Lake Blvd NE,,Andover,MN,55304,USA,7637678484,,,10113-000,Plumbers,1992-11-30 00:00:00,2016-04-25 00:00:00,False,NR,0.0,2.0,,False,Micro-small,False,2021-05-18 04:05:00,Search
108076,108076,704,14001120,JEM Inc,4024 Central Ave NE,,Columbia Hts,MN,55421,USA,7637887773,,,50173-000,Computers - Dealers,1995-03-27 00:00:00,2018-06-26 00:00:00,False,NR,0.0,9.0,0.0,False,Micro-small,False,2021-06-29 03:57:00,Search
108077,108077,704,14001141,Foley Construction,29662 Jackson St NE,,Isanti,MN,55040,USA,7634449690,,,10078-000,Home Builders,1982-01-01 00:00:00,,False,NR,0.0,3.0,,False,Micro-small,False,2022-12-30 08:56:00,Search
108078,108078,704,14001143,Dakota Screen Arts,3138 N 10th St. #2,,Bismarck,ND,58503,USA,7012249879,,,60013-000,Advertising - Direct Mail,1985-08-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-10-19 08:27:00,Search
108079,108079,704,14001175,Gutter Specialists Inc,2612 N North Ave,,Fairmont,MN,56031,USA,5072382649,,,10126-000,Roofing Contractors,1978-06-01 00:00:00,2022-08-01 00:00:00,False,NR,0.0,2.0,,False,Micro-small,False,2022-08-02 08:43:00,Search
108080,108080,704,14001179,Food & Fuel,4997 Miller Trunk Hwy,,Duluth,MN,55811,USA,2187295500,,,50199-000,Convenience Stores,1993-01-11 00:00:00,,False,A+,100.0,,,False,Small,False,2021-03-27 04:08:00,Search
108081,108081,704,14001184,"Automotive Electric Service, Inc.",407 NW 6th Ave,,Grand Rapids,MN,55744,USA,2183266549,,,60103-000,Auto Repair & Service,1983-01-01 00:00:00,,False,NR,0.0,5.0,,False,Micro-small,False,2023-02-04 09:01:00,Search
108082,108082,704,14001186,Festival Foods,13735 Round Lake Blvd NW,,Andover,MN,55304,USA,7637551415,,,50322-000,Grocers - Retail,1993-01-15 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2021-03-10 04:42:00,Search
108083,108083,704,14001250,A E I  Inc,30 7th St E Str 1300,,Saint Paul,MN,55101,USA,6512277333,,,20045-000,Investment Advisory Service,1996-07-31 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-10-15 04:11:00,Search
108084,108084,704,14001267,Travel Planners International,920 Nicollet Mall Ste 215,,Minneapolis,MN,55403,USA,6123393666,,,70632-000,Travel Agencies & Bureaus,1985-08-01 00:00:00,2016-06-03 00:00:00,False,NR,0.0,,,False,Micro-small,False,2019-06-10 04:03:00,Search
108085,108085,704,14001286,Ed's Fence Company,15156 96th St NE,,Elk River,MN,55330,USA,7634412605,,,50252-000,Fence Contractors,1990-01-01 00:00:00,,False,A+,100.0,3.0,,False,Micro-small,False,2022-04-21 08:27:00,Search
108086,108086,704,14001326,Design Ceramic & Marble Co.,6720 N 5th St,,Brooklyn Center,MN,55430,USA,7635611903,,,10159-000,Tile - Ceramic - Contractors & Dealers,1988-01-01 00:00:00,2019-04-24 00:00:00,False,NR,0.0,2.0,,False,Micro-small,False,2022-04-26 08:17:00,Search
108087,108087,704,14001331,Airport Days Inn,1901 Killebrew Dr,,Minneapolis,MN,55425,USA,9528548400,,,60447-000,Hotels,1993-05-24 00:00:00,,False,A+,100.0,45.0,0.0,False,Small,False,2023-02-08 09:27:00,Search
108088,108088,704,14001332,Dan's Trees,17702 195th Avenue,,Little Falls,MN,56345,USA,3206328560,,,00154-000,Landscape Architects,1993-05-24 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-01-15 09:28:00,Search
108089,108089,704,14001340,Budget Tree Service,1422 Ames Ave,,Saint Paul,MN,55106,USA,6517728606,,,00154-000,Landscape Architects,,2016-08-26 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2022-04-01 08:39:00,Search
108090,108090,704,14001342,Alt Well Repair & Septic Service,678 195th St W,,Jordan,MN,55352,USA,9524923907,,,10169-000,Water Well Drilling & Service,1980-01-01 00:00:00,,False,A+,100.0,2.0,,False,Micro-small,False,2022-09-29 08:50:00,Search
108091,108091,704,14001395,C & M Property Management,4344 Bryant Ave S,,Minneapolis,MN,55409,USA,6128270668,,,60732-000,Property Management,1993-06-25 00:00:00,,False,A+,100.0,2.0,,False,Micro-small,False,2022-07-12 08:32:00,Search
108092,108092,704,14001430,Bleseners Quality Exteriors,10960 Fox Avenue,,Northfield,MN,55057,USA,5076458375,,,10035-000,Contractors - General,1984-01-01 00:00:00,,False,A+,100.0,6.0,,False,Micro-small,False,2022-10-22 08:09:00,Search
108093,108093,704,14001438,Erickson Plumbing & Heating,1690 English St,,Saint Paul,MN,55109,USA,6517358889,,,10113-000,Plumbers,,2018-11-19 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2021-08-26 04:03:00,Search
108094,108094,704,14001439,Gagnon P M Inc,3825 197th Ave NW,,Anoka,MN,55303,USA,7637531389,,,10089-000,Mason Contractors,1993-07-22 00:00:00,,False,NR,0.0,1.0,,False,Micro-small,False,2022-05-11 08:35:00,Search
108095,108095,704,14001447,Creative Banners,6801 Shingle Creek Pkwy,,Minneapolis,MN,55430,USA,7632786529,,,50246-000,Fabric Shops,,2015-10-06 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2022-12-23 09:04:00,Search
108096,108096,704,14001451,Blue Ribbon Chem Dry,10209 Clinton Ave S,,Minneapolis,MN,55420,USA,9528841593,,,60184-000,Carpet & Rug Cleaners,1991-05-01 00:00:00,2016-04-25 00:00:00,False,NR,0.0,2.0,,False,Micro-small,False,2019-04-29 04:01:00,Search
108097,108097,704,14001454,As You Like It Catering,3503 Penn Ave N,,Minneapolis,MN,55412,USA,6125292586,,,50138-000,Caterers,,2005-04-14 00:00:00,False,NR,0.0,,,False,Micro-small,False,2018-07-23 04:19:00,Search
108098,108098,704,14001456,Bay View Resort,4014 Bayview Dr NW,,Hackensack,MN,56452,USA,2186756682,,,60752-000,Resorts,1984-01-01 00:00:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,2021-12-15 04:24:00,Search
108099,108099,704,14001461,Great North Protectors,21341 Olinda Trl N,,Scandia,MN,55073,USA,6514334217,,,10053-000,Fire & Smoke Alarm Systems,1990-04-01 00:00:00,,False,NR,0.0,1.0,,False,Micro-small,False,2022-03-19 08:29:00,Search
108100,108100,704,14001470,Eastside Auto & Muffler,413 Washington St NE,,Brainerd,MN,56401,USA,2188292460,,,60103-000,Auto Repair & Service,1984-01-01 00:00:00,,False,A+,100.0,1.0,,False,Micro-small,False,2022-07-08 12:20:00,Search
