,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia
1200,704,96544046,Dennis Keblar Construction Llc,150 5th St,,Felton,MN,56536,USA,2184943747,,https://www.manta.com/c/mb8c1w4/dennis-keblar-construction-llc,10035-000,Contractors - General,6/8/2000 0:00,,False,A+,100.0,,0.0,False,Micro-small,False,10/27/2020 3:46,Search
1201,704,96544796,Met Life Resources,110 Cheshire Ln,,Minnetonka,MN,55305,USA,9527977450,,https://www.dnb.com/business-directory/company-profiles.metlife.ac570befc7e2c02210814bbfd1fc998b.html,20067-000,Stock & Bond Brokers,4/30/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2/4/2022 9:34,Search
1202,704,96544652,Feigenbm/Bleiko Graphic Design,512 W Minnehaha Pkwy,,Minneapolis,MN,55419,USA,6128232542,,https://tarta.ai/j/tMwqyXsBKVDGKatzGmty-earn-35-75-hour-at-feigenbm-bleiko-graphic-design-minnesota-mn-55419-in-minneapolis-mn-at-feigenbm-bleiko-graphic-design,60065-000,Artists - Commercial,,,False,NR,0.0,,,False,Micro-small,False,12/23/2020 12:21,Search
1203,704,96544982,Amerisafe Risk Service Inc,3325 Hartford Rd,,Saint Paul,MN,55125,USA,6513300457,,https://www.amerisafe.com/,20080-000,Insurance Services,4/30/2014 0:00,,False,A+,100.0,,0.0,False,Micro-small,False,8/6/2021 4:08,Search
1204,704,96543903,Vrc Realty,2445 Winnetka Ave N,,Golden Valley,MN,55427,USA,7633318800,,https://www.superpages.com/golden-valley-mn/bpp/amp/vrc-realty-472832186,60729-102,Real Estate Agents,4/30/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/22/2022 8:10,Search
1205,704,96544332,Janitorial Maintenance Inc,11010 50th Ave N,,Minneapolis,MN,55442,USA,7635511623,,https://minneapolis-janitorialservices.com/,60478-000,Janitor Service,,,False,A+,100.0,1.0,,False,Micro-small,False,3/16/2022 8:53,Search
1206,704,96544923,Mygrant Glass CO,44 Northern Stacks Dr Ste 100,,Columbia Hts,MN,55421,USA,7635723863,,https://www.mygrantglassonline.com/,80536-000,Paint - Wholesale & Manufacturers,,,False,A+,100.0,1.0,,False,Micro-small,False,9/10/2022 8:39,Search
1207,704,96545202,Awj Capital Partners,222 S 9th St Ste 3035,,Minneapolis,MN,55402,USA,6123383804,,https://www.linkedin.com/company/awj-capital-partners-llc,20045-000,Investment Advisory Service,4/30/2014 0:00,,False,NR,0.0,,0.0,False,Micro-small,False,2/22/2021 3:55,Search
1208,704,96545042,Automotive Data Systems,21851 Linnet St NW,,Cedar,MN,55011,USA,7637539551,,https://www.yellowpages.com/cedar-mn/mip/automotive-data-systems-481325766,55528-000,Auto Parts,4/30/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,3/25/2022 8:40,Search
1209,704,96544505,St Pierre Holdings Inc,500 Grotto St N Ste 1,,Saint Paul,MN,55104,USA,6512943043,,https://www.manta.com/c/mm8ypl1/st-pierre-holdings-inc,20017-000,Holding Companies,,,False,A+,100.0,1.0,,False,Micro-small,False,11/23/2021 6:33,Search
