,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,contains_contacts_page,contains_business_name,contains_business_name_in_copyright,contains_social_media_links,contains_reviews_page,contains_zipCode,url_contains_phone_number,url_contains_email,manually_checked
970,704,1000053940,MedSource International LLC,8600 Shelby Ct,,Chanhassen,MN,55317.0,USA,9524720131.0,info@medsourcelabs.com,http://www.gomedsource.com,80385-100,Medical Equipment & Supplies,1/3/2002 0:00,,False,A+,100.0,10.0,,False,Micro-small,False,7/8/2022 12:32,BBB,True,False,False,True,False,False,False,False,1
70,704,1000003599,Papa Murphy's Take and Bake,1845 Highway 59 S,,Thief Rvr Fls,MN,56701.0,USA,2186835129.0,,https://locations.papamurphys.com/mn/thief-river-falls/1845-hwy-59-south,50502-000,Pizza ,,,False,NR,0.0,,0.0,False,Micro-small,False,1/29/2020 6:33,Search,False,False,False,True,False,False,False,False,1
1183,704,24000146,"Isanti Rental, Inc.",421 W Dual Blvd,,Isanti,MN,55040.0,USA,7634447368.0,info@isantirental.com,http://www.isantirental.com,50481-000,Party Supplies - Renting,10/1/1993 0:00,,True,A+,100.0,10.0,,False,Small,False,5/24/2022 8:16,BBB,True,False,False,True,False,False,False,False,1
1830,704,96257023,Central Rental Co,1199 Osborne Rd Ne,,Spring Lake Park,MN,55432.0,USA,7637860981.0,info@centralrentals.net,http://centralrentals.net,60747-000,Rental Service Stores & Yards,11/16/1972 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,9/30/2022 8:54,BBB,True,False,False,False,False,False,False,False,1
109,704,1000005517,The Original Grass Kings LLC,6944 Pillsbury Ave,,Edina,MN,55423.0,USA,6125015318.0,,https://opencorporates.com/companies/us_mn/46cf8b91-86d4-e011-a886-001ec94ffe7f,70605-000,Snow Removal Service,7/7/2011 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,12/28/2019 4:25,Search,False,False,False,False,False,False,False,False,0
1975,704,1000005079,Bruce Schmidt Construction Inc,701 County Road 88 SW,,Alexandria,MN,56308.0,USA,3202836100.0,,https://www.andersonfuneral.net/obituaries/bruce-schmidt,10177-000,Construction & Remodeling Services,7/30/2001 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/20/2022 8:57,Search,False,False,False,True,False,False,False,False,0
1154,704,96099052,Hopkins Foot & Ankle Clinic,29 9th Ave N Ste C,,Hopkins,MN,55343.0,USA,9529353334.0,,http://www.hopkinseyeclinic.com,60445-000,Hospitals,1/1/1987 0:00,8/1/2022 0:00,False,NR,0.0,2.0,,False,Micro-small,False,8/2/2022 8:44,BBB,True,False,False,True,False,False,False,False,1
135,704,1000004726,Meadow Green Hydroseed LLC,23253 Taylor St NE,,East Bethel,MN,55005.0,USA,7634131483.0,,https://www.superpages.com/bethel-mn/hydroseeding,00155-101,Hydroseeding,5/20/1999 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/6/2022 9:12,Search,True,False,False,True,False,False,False,False,0
165,704,1000001475,Royal Care Car Wash,408 N Highway 10,,Royalton,MN,56373.0,USA,3205840191.0,,https://www.yellowpages.com/royalton-mn/mip/royal-care-car-wash-14802489,60180-000,Car Wash & Polish,7/2/2009 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/26/2022 8:41,Search,True,True,False,True,True,False,False,False,0
224,704,1000003817,Donald Miller Construction,17843 Jubilee Way Apt A,,Lakeville,MN,55044.0,USA,9528920536.0,,https://www.homeyou.com/donald-miller-construction-lakeville-mn,30760-000,Woodworking,,11/22/2019 0:00,False,NR,0.0,1.0,,False,Micro-small,False,11/28/2022 8:54,Search,False,False,False,False,False,False,False,False,0
917,704,1000005379,"Fresh Look Paintings, LLC",105 2nd Ave SW Apt 4,,Hutchinson,MN,55350.0,USA,3204126749.0,sizzard@hutchtel.net,https://www.hutchtel.net/,10094-000,Paint Removing,1/21/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,4/23/2022 8:16,Email,True,False,False,True,False,False,False,False,0
329,704,1000006275,"Hutchison Excavating, LLC",20511 Lindberg Road,,Deerwood,MN,56444.0,USA,2188515736.0,,https://www.parishesonline.com/supporter/hutchison-excavating-llc,10050-000,Excavating Contractors,3/13/2009 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/5/2020 4:18,Search,False,False,False,False,False,False,False,False,0
1950,704,1000001836,Chokio Kafe,112 Main St,,Chokio,MN,56221.0,USA,3203242858.0,,https://www.menupix.com/minnesota/restaurants/2300689/Chokio-Cafe-Chokio-MN,50544-000,Restaurants,1/1/2007 0:00,8/28/2018 0:00,False,NR,0.0,2.0,,False,Micro-small,False,2/2/2022 9:43,Search,True,False,False,True,True,False,False,False,0
1077,704,1000047806,Vittorio Contracting LLC,5483 FISH LAKE DAM RD,,Duluth,MN,55803.0,USA,2189405426.0,,http://vittoriocontracting.com/,10050-000,Excavating Contractors,4/27/2020 0:00,,False,NR,0.0,1.0,,False,Micro-small,False,9/22/2022 8:56,BBB,False,False,False,False,True,False,False,False,1
1747,704,1000044618,Origin Meals LLC,337 Second St NE,,Hopkins,MN,55343.0,USA,6122605224.0,info@originmeals.com,https://www.originmeals.com/,85333-000,Meal Preparation Service,3/25/2013 0:00,,False,A+,100.0,8.0,0.0,False,Micro-small,False,1/28/2021 4:10,BBB,False,False,False,True,False,False,False,True,1
1857,704,96209942,Seagull Canoe Outfitters,12208 Gunflint Trl,,Grand Marais,MN,55604.0,USA,2183882216.0,,http://Seagulloutfitters.com,50082-000,Boat Dealers,1/1/1991 0:00,,False,A+,100.0,12.0,0.0,False,Micro-small,False,4/17/2022 8:05,BBB,False,True,False,True,False,False,False,False,1
1621,704,96034641,"Vanquish Credit Repair, Inc",1171 Northland Dr,,Mendota Heights,MN,55120.0,USA,6512876240.0,kgrimes@vanquishcredit.com,http://www.vanquishcreditrepair.com,90027-000,Credit Repair Services - Advance Fee,11/10/2005 0:00,6/3/2016 0:00,False,NR,0.0,1.0,,False,Micro-small,False,6/10/2019 4:04,BBB,False,False,False,False,False,False,False,False,0
693,704,96543484,Wise Planning,1650 W 82nd St Ste 775,,Bloomington,MN,55431.0,USA,8002184588.0,Christopher.Wagner@LPL.com,http://www.wiseplanning.us/,20045-000,Investment Advisory Service,4/30/2014 0:00,,False,A+,100.0,,0.0,False,Micro-small,False,5/15/2021 4:10,BBB,True,True,False,False,False,False,False,True,1
375,704,1000005434,Building Modern Homes,7725 74th St S,,Cottage Grove,MN,55016.0,USA,7637970456.0,,https://www.houzz.com/professionals/home-builders/cottage-grove-mn-us-probr0-bo~t_11823~r_5022134,10177-000,Construction & Remodeling Services,10/4/2007 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,3/16/2021 4:00,Search,True,False,False,True,True,False,False,False,0
69,704,1000005423,Gene Dornink Carpentry LLC,74427 170th Ave,,Hayfield,MN,55940.0,,5072068449.0,,https://dev.austincoc.com/list/member/gene-dornink-carpentry-llc-12487.htm,10019-000,Carpenters,2/12/2010 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/9/2023 9:12,Search,True,False,False,True,False,False,False,False,0
65,704,1000000038,Lakeside Lawn & Landscape,9166 Schaller Rd,,Pequot Lakes,MN,56472.0,USA,2185436726.0,,https://lakesidelandscapeinc.com/,00155-000,Landscape Contractors,1/1/1988 0:00,,False,NR,0.0,15.0,0.0,False,Micro-small,False,8/23/2022 8:27,Search,True,False,False,True,False,False,False,False,1
1138,704,96001817,"Liberty National Mortgage, Inc.",438 Hayward Ave N,,Oakdale,MN,55128.0,USA,6517312200.0,ScottL@libnatmort.com,http://www.libertynationalmortgage.com,20053-000,Mortgage Brokers,7/1/2001 0:00,4/28/2016 0:00,False,NR,0.0,18.0,,False,Micro-small,False,4/29/2019 4:00,BBB,False,False,False,False,False,False,False,False,0
74,704,1000003047,Tow Time,23501 Capella St Ne,,Minneapolis,MN,55408.0,USA,6125011815.0,,https://towing-companies.cmac.ws/tow-time-inc/47850/,60103-000,Auto Repair & Service,1/1/2008 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,1/29/2023 8:36,Search,False,True,False,True,False,False,False,False,0
833,704,96342152,Visiting Angels,2000 Old West Main St Ste 345,,Red Wing,MN,55066.0,USA,6512126600.0,angelsredwing@comcast.net,http://www.visitingangels.com,85273-000,In-Home Care,12/1/2008 0:00,,False,A+,100.0,4.0,0.0,False,Micro-small,False,5/5/2022 8:23,BBB,True,True,False,True,True,False,False,False,1
690,704,96129805,Creation Audio Recording Inc,2543 Nicollet Ave,,Minneapolis,MN,55404.0,USA,6128700028.0,,https://www.facebook.com/profile.php?id=158525860845476&paipv=0&eav=AfZD2ckceN451DIZBW02k1T5vCi64zvadwseRkAdUAYjIGZlHFPvGjHOhVNnXHbCl7s&_rdr,60736-000,Recording Service - Sound & Video,1/1/1994 0:00,,False,A+,100.0,5.0,0.0,False,Micro-small,False,1/6/2023 9:12,BBB,False,False,False,False,False,False,False,False,1
908,704,96102140,Carbone's Pizzeria,7155 Jorgensen Ln S # 180,,Cottage Grove,MN,55016.0,USA,6514596666.0,janelleerickson@edinarealty.com,https://www.cgcarbones.com,50502-000,Pizza ,5/1/2004 0:00,,False,A+,100.0,18.0,,False,Small,False,10/27/2021 4:17,BBB,True,False,False,True,False,False,False,False,1
1552,704,1000000151,Brustuen Construction Llc,280 180th Ave NW,,Holloway,MN,56249.0,USA,3202970736.0,,https://www.yellowpages.com/holloway-mn/mip/brustuen-construction-16205361,30760-000,Woodworking,1/1/2007 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/30/2022 8:34,Search,True,True,False,True,True,False,False,False,1
813,704,96008160,B N R Excavating,PO Box 4154,,Hastings,MN,55033.0,USA,6514388692.0,nadeau@usinternet.com,https://www.usinternet.com/,10050-000,Excavating Contractors,,11/25/2015 0:00,False,NR,0.0,1.0,,False,Micro-small,False,1/27/2023 9:08,Email,True,False,False,True,False,False,False,False,0
1784,704,96013062,Jones Haugh & Smith Inc,515 S Washington Ave,,Albert Lea,MN,56007.0,USA,5073734876.0,stevep@jhseng.com,https://www.jhseng.com/,60845-000,Surveyors - Land,1/1/1963 0:00,,False,A+,100.0,14.0,,False,Small,False,2/8/2023 9:28,Email,True,False,False,False,False,False,False,False,1
1954,704,1000001540,The Garage Bar & Grill,3108 9th St S,,Moorhead,MN,56560.0,USA,2182870100.0,,https://www.facebook.com/TheGarageBarPresents/,50544-000,Restaurants,6/11/2009 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/1/2023 8:57,Search,False,False,False,True,False,False,False,False,1
1320,704,1000005057,Brent the Builder,16806 Taconite St NE,,Ham Lake,MN,55304.0,USA,6123880188.0,,https://www.parentcustomhomes.com/about-us/,10177-000,Construction & Remodeling Services,1/22/2007 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/20/2022 8:56,Search,False,False,False,False,False,False,False,False,0
1507,704,1000002811,Cascade Drywall,11279 122nd St,,Milaca,MN,56353.0,USA,5096649052.0,,https://nwcascadedrywall.com/,10112-000,Plastering Contractors,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/29/2023 8:36,Search,False,True,False,True,False,False,False,False,1
1253,704,1000001944,Rodent & Wildlife Management,1391 County Road 7 NE,,Longville,MN,56655.0,USA,2183633324.0,,https://www.yellowpages.com/longville-mn/mip/rodent-wildlife-management-466145606,60650-000,Pest Control Services,1/1/2006 0:00,6/8/2016 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/12/2021 3:56,Search,True,True,False,True,True,False,False,False,1
527,704,96113633,"DeCook Excavating, Inc.",821 Country Club Rd SE # Se1,,Byron,MN,55920.0,USA,5073614870.0,Chris@DeCookExcavating.com,http://www.decookexcavating.com,10050-000,Excavating Contractors,1/1/2004 0:00,,True,A+,100.0,4.0,0.0,False,Micro-small,False,12/14/2022 9:35,BBB,True,False,False,False,False,False,False,False,1
52,704,1000006759,"Conzemius Oil, Inc.",513 5th st,PO Box 28,Breckenridge,MN,56520.0,USA,2186436789.0,,https://www.bloomberg.com/profile/company/0418887D:US,30432-000,Oils - Petroleum,4/24/1998 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/7/2022 8:10,Search,False,False,False,False,False,False,False,False,0
1184,704,96502881,Carz Inspection,PO Box 302,,Wanamingo,MN,55983.0,USA,8772748258.0,,http://www.carzinspection.com,60100-000,Auto Inspection Stations,7/2/2013 0:00,12/22/2016 0:00,False,NR,0.0,,0.0,False,Micro-small,False,12/23/2019 3:56,BBB,False,False,False,False,False,False,False,False,0
