,Unnamed: 0,Accuracy,VariablesUsed,RandomStateUsed
0,0.0,0.6583333333333333,"['IsHQ', 'url_contains_phone_number', 'contains_business_name', 'url_contains_email', 'contains_business_name_in_copyright', 'contains_zipCode', 'IsBBBAccredited', 'contains_contacts_page', 'contains_social_media_links', 'BBBRatingScore']",0
1,1.0,0.7083333333333334,"['contains_business_name', 'contains_contacts_page', 'IsCharity']",1
2,2.0,0.675,"['contains_zipCode', 'contains_contacts_page', 'contains_business_name_in_copyright', 'contains_reviews_page', 'IsCharity', 'url_contains_email']",2
3,3.0,0.6633333333333333,"['BBBRatingScore', 'IsBBBAccredited', 'contains_business_name', 'IsHQ']",3
4,4.0,0.6883333333333334,"['url_contains_email', 'contains_social_media_links', 'IsHQ']",4
5,5.0,0.7116666666666667,"['BBBRatingScore', 'url_contains_phone_number', 'contains_reviews_page', 'IsBBBAccredited', 'url_contains_email']",5
6,6.0,0.6933333333333334,"['contains_business_name_in_copyright', 'contains_social_media_links', 'contains_business_name', 'IsHQ', 'contains_contacts_page', 'contains_reviews_page', 'url_contains_phone_number', 'url_contains_email']",6
7,7.0,0.6883333333333334,"['contains_reviews_page', 'url_contains_phone_number']",7
8,8.0,0.6766666666666666,"['BBBRatingScore', 'IsCharity', 'IsHQ', 'contains_business_name', 'contains_social_media_links']",8
9,9.0,0.6783333333333333,"['IsBBBAccredited', 'IsCharity', 'contains_business_name']",9
10,10.0,0.685,"['IsCharity', 'contains_business_name_in_copyright', 'contains_zipCode', 'contains_business_name', 'IsHQ', 'BBBRatingScore', 'url_contains_phone_number', 'IsBBBAccredited', 'url_contains_email', 'contains_reviews_page']",10
11,11.0,0.6766666666666666,"['IsBBBAccredited', 'contains_business_name_in_copyright']",11
12,12.0,0.6516666666666666,"['BBBRatingScore', 'contains_social_media_links', 'contains_reviews_page', 'IsBBBAccredited', 'contains_business_name', 'url_contains_phone_number', 'IsHQ', 'IsCharity', 'contains_contacts_page', 'contains_business_name_in_copyright', 'contains_zipCode']",12
13,13.0,0.695,"['url_contains_phone_number', 'contains_reviews_page', 'contains_social_media_links', 'BBBRatingScore', 'IsBBBAccredited', 'IsCharity']",13
14,14.0,0.6833333333333333,"['contains_contacts_page', 'IsHQ', 'IsCharity', 'contains_business_name']",14
15,15.0,0.6616666666666666,"['IsCharity', 'contains_business_name_in_copyright', 'BBBRatingScore', 'contains_social_media_links', 'contains_zipCode', 'IsHQ']",15
16,16.0,0.68,"['contains_business_name', 'IsHQ', 'url_contains_phone_number', 'contains_contacts_page', 'BBBRatingScore', 'contains_zipCode', 'IsCharity', 'IsBBBAccredited', 'url_contains_email']",16
17,17.0,0.7,"['IsBBBAccredited', 'url_contains_phone_number', 'contains_business_name_in_copyright', 'contains_zipCode', 'contains_reviews_page', 'contains_business_name', 'BBBRatingScore', 'url_contains_email', 'IsHQ', 'contains_contacts_page', 'contains_social_media_links']",17
18,18.0,0.6683333333333333,"['contains_reviews_page', 'url_contains_email', 'contains_contacts_page', 'IsBBBAccredited', 'IsHQ', 'BBBRatingScore', 'IsCharity', 'contains_social_media_links', 'contains_zipCode', 'contains_business_name', 'url_contains_phone_number']",18
19,19.0,0.69,"['IsBBBAccredited', 'IsHQ', 'url_contains_phone_number', 'url_contains_email', 'contains_business_name_in_copyright', 'IsCharity']",19
20,20.0,0.6916666666666667,"['IsCharity', 'contains_business_name']",20
21,21.0,0.6666666666666666,"['contains_contacts_page', 'url_contains_phone_number', 'contains_business_name_in_copyright', 'IsHQ', 'IsCharity', 'contains_reviews_page', 'url_contains_email', 'contains_social_media_links', 'contains_business_name', 'contains_zipCode']",21
22,22.0,0.6783333333333333,"['contains_reviews_page', 'contains_contacts_page']",22
23,23.0,0.6583333333333333,"['IsBBBAccredited', 'contains_business_name', 'contains_business_name_in_copyright', 'contains_zipCode', 'url_contains_phone_number', 'IsHQ', 'BBBRatingScore', 'url_contains_email', 'contains_social_media_links']",23
24,24.0,0.6633333333333333,"['contains_social_media_links', 'BBBRatingScore', 'IsCharity', 'contains_zipCode', 'url_contains_phone_number', 'contains_business_name']",24
25,25.0,0.6683333333333333,['url_contains_phone_number'],25
26,26.0,0.6983333333333334,"['url_contains_email', 'BBBRatingScore', 'IsCharity', 'IsBBBAccredited', 'url_contains_phone_number', 'contains_social_media_links']",26
27,27.0,0.6316666666666667,"['IsBBBAccredited', 'contains_business_name_in_copyright', 'contains_business_name', 'url_contains_phone_number', 'IsCharity', 'contains_zipCode']",27
