BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate
0704,10,Able Movers LLC,12285 Rush Cir NW,,Elk River,MN,55330,USA,8007052906,info@AbleMovingCorp.com,https://www.ablemovingcorp.com/,70571-000,1969-01-01 00:00:00,2005-04-14 00:00:00,False,NR,0.00,10,0,False,Micro-small,False,2022-06-22 11:32:00
0704,100,Bob & Carl&#39;s Auto Body,107 Central Ave,,Osseo,MN,55369,USA,7634252177,info@bobandcarls.com,http://www.bobandcarls.com,60094-000,1969-01-05 00:00:00,,False,A+,100.00,8,0,False,Small,False,2022-07-29 08:29:00
0704,10000,Little Co Inc The,17766 Langford Blvd,,Prior Lake,MN,55372,USA,9524475922,,,10078-000,1973-01-01 00:00:00,2018-10-22 00:00:00,False,NR,0.00,5,0,False,Micro-small,False,2022-12-13 09:02:00
0704,1000000000,The File Depot,2110 W 98th St,,Bloomington,MN,55431,USA,6124446345,chuckpittman@thefiledepot.com,http://thefiledepot.com,60632-200,2015-06-18 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000001,Tree Trust Landscape Services,1419 Energy Park Dr,,Saint Paul,MN,55108,USA,9527673880,jareds@treetrust.org,https://treetrust.org/,60330-000,1976-03-16 00:00:00,,True,A+,100.00,20,0,False,Micro-small,False,2023-01-13 09:01:00
0704,1000000002,Domino's Pizza,1058 Enterprise Dr E,,Belle Plaine,MN,56011,USA,9528732020,,,50544-000,,,False,NR,0.00,,0,False,Micro-small,False,2020-02-01 04:31:00
0704,1000000003,Vetter Homes Inc,Po Box 7142,,Bismarck,ND,58507,USA,7012233236,,,10035-000,2016-03-29 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-04-13 08:06:00
0704,1000000004,Leimer Construction,106 N 6th Ave E,,Truman,MN,56088,USA,5077762350,,,10035-000,2010-01-01 00:00:00,,False,NR,0.00,4,0,False,Micro-small,False,2023-01-07 09:07:00
0704,1000000005,Karja Construction,2781 62nd St Nw,,Maple Lake,MN,55358,USA,6129681882,,,10177-000,2001-01-01 00:00:00,,False,A+,100.00,3,0,False,Micro-small,False,2022-09-29 08:50:00
0704,1000000007,Verndale Custom Builders,302 E Mason Ave,,Verndale,MN,56481,USA,2184456006,info@verndalecustombuilders.com,http://www.verndalecustombuilders.com/,10078-000,2013-01-14 00:00:00,,False,A+,100.00,6,0,False,Small,False,2022-12-02 09:29:00
0704,1000000009,"Larry Brooks Builders, Inc.",185 High Point Pl NE Ste 101,,Byron,MN,55920,USA,5077756244,,,10035-000,2003-03-04 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-10-04 08:07:00
0704,1000000010,Kottkes&#39; Bus Service,13625 Jay St NW,,Andover,MN,55304,USA,7637558506,,http://kottkesbus.com/,70529-000,1961-12-19 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-11-15 09:11:00
0704,1000000011,Metrowide Legal Services,15050 Cedar Ave Ste 116-259,,Apple Valley,MN,55124,USA,6129784454,baker@metrowidelegal.com,http://www.metrowidelegal.com/,60075-000,2010-12-09 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2020-03-14 04:18:00
0704,1000000012,Midwest Canine,775 40th Ave,,Beaver Creek,MN,56116,USA,5076732571,midwestcanine@earthlink.net,http://www.midwestcanine.com/,05195-000,,,False,NR,0.00,1,0,False,Micro-small,False,2022-11-01 08:13:00
0704,1000000013,Holysmokerpits,5689 Hermantown rd,,Hermantown ,MN,55810,USA,2184612791,,,80467-200,,,False,NR,0.00,1,0,False,Micro-small,False,2022-11-13 09:01:00
0704,1000000014,Lewk,945 Broadway ST NE #160,,Minneapolis,MN,55413,USA,6122008647,hr@lewk.com,,55093-000,2015-04-01 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-07 09:09:00
0704,1000000015,Longleaf Reclaimed Timber,416 35th Ave NE,,Minneapolis,MN,55418,USA,6124904315,longleafreclaimedtimber@gmail.com,,50291-000,,,False,A+,100.00,1,0,False,Micro-small,False,2022-07-08 12:27:00
0704,1000000016,Live Tree Nursery,146 Wilderness Way,,Good Thunder,MN,56037,USA,5072783414,,,00155-000,1984-01-01 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-04-13 08:06:00
0704,1000000017,"AAA Construction, LLC",8849 Branson Dr,,Inver Grove,MN,55076,USA,6127200881,lorchgreg@yahoo.com,,10177-000,2008-12-30 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2021-05-04 04:06:00
0704,1000000018,Favorfloat Corporation,4111 Central Ave NE Ste 203,,Columbia Hts,MN,55421,USA,7637880221,pjegede@aol.com,http://www.favorfloat.com,90027-200,2014-11-26 00:00:00,,False,A+,100.00,2,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000019,Discount Plumbing and Drain Cleaning ,4318 Upton Ave S Ste 210,,Minneapolis,MN,55410,USA,6124443540,dispatch@asapmn.com,https://www.discountplumbers.com,10113-000,2012-04-03 00:00:00,,True,A+,100.00,20,0,False,Small,False,2023-01-10 08:49:00
0704,1000000020,"Ron&#39;s Auto Repair of Mankato, LLC",22695 589th Ave,,Mankato,MN,56001,USA,5073860660,ronsautorepairmankato@gmail.com,http://www.ronsautorepairmankato.com,60103-000,2002-04-01 00:00:00,,False,A+,100.00,3,0,False,Micro-small,False,2022-11-30 09:27:00
0704,1000000021,Black Jack Seal Coating,3520 84th Cir N,,Brooklyn Park,MN,55443,USA,6129103032,,,85295-000,2015-04-13 00:00:00,2017-01-30 00:00:00,False,NR,0.00,1,0,False,Micro-small,False,2019-02-16 04:06:00
0704,1000000022,Klein Lawn Care,14268 Underclift St NW,,Andover,MN,55304,USA,7635670493,,,00157-000,2009-08-12 00:00:00,2019-10-14 00:00:00,False,NR,0.00,1,0,False,Micro-small,False,2020-12-11 04:12:00
0704,1000000023,"Schaper Engineering, LLC",PO Box 26,,Mound,MN,55364,USA,7635673035,craig@schaperengineering.com,https://schaperengineering.com/,60339-000,2013-10-01 00:00:00,,True,A+,100.00,1,0,False,Micro-small,False,2022-07-08 12:27:00
0704,1000000024,new 2 you,501 Broadway W,,Little Falls,MN,56345,USA,3206392232,,,50655-000,,,False,NR,0.00,,0,False,Micro-small,False,2020-02-01 04:31:00
0704,1000000025,River and Son,79 Wendy Ct,,Shoreview,MN,55126,USA,6517282144,,,10177-000,2016-03-31 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-07-09 08:20:00
0704,1000000026,Insurance Specialists Team,530 Jefferson Blvd,,Big Lake,MN,55309,USA,7632443735,tim@istmn.com,http://www.insurancespecialiststeam.com,20080-000,2001-03-02 00:00:00,,False,A+,100.00,11,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000027,Blackduck Auto Parts Inc,25730 Highway 71 Ne,,Blackduck,MN,56630,USA,2188354278,,,50342-000,1984-01-01 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-04-10 08:12:00
0704,1000000028,"Justice Lawn Care & Landscaping, LLC",23255 128th St NW,,Elk River,MN,55330,USA,6122503893,tim@justicelandscaping.com,http://www.justicelawncare.com/,00157-000,2009-07-06 00:00:00,,False,A+,100.00,2,0,False,Micro-small,False,2022-12-07 09:09:00
0704,1000000029,Code 3 Construction LLC,3233 Greenbrier St,,Vadnais Heights,MN,55127,USA,6512602892,,,10177-000,,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-21 09:22:00
0704,1000000030,Northland Water Service Inc,27067 661st Ave,,Gibbon,MN,55335,USA,5078346496,bdscherer08@yahoo.com,,30370-000,1984-01-01 00:00:00,,False,A+,100.00,2,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000031,D W Sampson Center & Services,23245 Sunset Rd NE,,Bethel,MN,55005,USA,6122215884,dwsampsonconst@gmail.com,,10035-000,2001-08-01 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000032,A Clean Home,9116 Portland Ave S,,Bloomington,MN,55420,USA,9524869666,acleanhomemn@gmail.com,,66002-000,2010-04-06 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-22 09:08:00
0704,1000000033,"ABC BookWerks, LLC",2420 E 117th St Ste 100,,Burnsville,MN,55337,USA,6122422120,amy@bookwerks.com,http://www.abcbookwerks.com,60155-000,2013-04-03 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000034,Dawn Farrington - Re/Max Results,604 Bielenberg Dr Ste 100,,Saint Paul,MN,55125,USA,6519837166,dawn.farrington@results.net,,60729-000,2016-03-31 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000035,"Klein Lawn and Landscape,LLC",198 Griggs Street South,,Saint Paul,MN,55105,USA,6518955895,kleinlawnlandscape@gmail.com,https://www.facebook.com/kleinlawnandlandscape/,00157-000,2013-02-21 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2020-12-05 04:10:00
0704,1000000036,Ang's Consignment Center,127 Main St,,Clinton,MN,56225,USA,3203439054,angsconsignmentcenter@hotmail.com,https://www.facebook.com/angocc/,50159-000,,2016-08-14 00:00:00,False,NR,0.00,,,False,Micro-small,False,2019-08-19 04:05:00
0704,1000000037,Peltier Plumbing,1023 Dwane St,,South Saint Paul,MN,55075,USA,6514556574,,,10003-000,2010-08-30 00:00:00,,False,NR,0.00,3,0,False,Micro-small,False,2022-04-13 08:06:00
0704,1000000038,Lakeside Lawn & Landscape,9166 Schaller Rd,,Pequot Lakes,MN,56472,USA,2185436726,,,00155-000,1988-01-01 00:00:00,,False,NR,0.00,15,0,False,Micro-small,False,2022-08-23 08:27:00
