BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate
0704,10,Able Movers LLC,12285 Rush Cir NW,,Elk River,MN,55330,USA,8007052906,info@AbleMovingCorp.com,https://www.ablemovingcorp.com/,70571-000,Movers,1969-01-01 00:00:00,2005-04-14 00:00:00,False,NR,0.00,10,0,False,Micro-small,False,2022-06-22 11:32:00
0704,100,Bob & Carl&#39;s Auto Body,107 Central Ave,,Osseo,MN,55369,USA,7634252177,info@bobandcarls.com,http://www.bobandcarls.com,60094-000,Auto Body Repair & Painting,1969-01-05 00:00:00,,False,A+,100.00,8,0,False,Small,False,2022-07-29 08:29:00
0704,10000,Little Co Inc The,17766 Langford Blvd,,Prior Lake,MN,55372,USA,9524475922,,,10078-000,Home Builders,1973-01-01 00:00:00,2018-10-22 00:00:00,False,NR,0.00,5,0,False,Micro-small,False,2022-12-13 09:02:00
0704,1000000000,The File Depot,2110 W 98th St,,Bloomington,MN,55431,USA,6124446345,chuckpittman@thefiledepot.com,http://thefiledepot.com,60632-200,Professional Organizer,2015-06-18 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000001,Tree Trust Landscape Services,1419 Energy Park Dr,,Saint Paul,MN,55108,USA,9527673880,jareds@treetrust.org,https://treetrust.org/,60330-000,Employment Training,1976-03-16 00:00:00,,True,A+,100.00,20,0,False,Micro-small,False,2023-01-13 09:01:00
0704,1000000002,Domino's Pizza,1058 Enterprise Dr E,,Belle Plaine,MN,56011,USA,9528732020,,,50544-000,Restaurants,,,False,NR,0.00,,0,False,Micro-small,False,2020-02-01 04:31:00
0704,1000000003,Vetter Homes Inc,Po Box 7142,,Bismarck,ND,58507,USA,7012233236,,,10035-000,Contractors - General,2016-03-29 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-04-13 08:06:00
0704,1000000004,Leimer Construction,106 N 6th Ave E,,Truman,MN,56088,USA,5077762350,,,10035-000,Contractors - General,2010-01-01 00:00:00,,False,NR,0.00,4,0,False,Micro-small,False,2023-01-07 09:07:00
0704,1000000005,Karja Construction,2781 62nd St Nw,,Maple Lake,MN,55358,USA,6129681882,,,10177-000,Construction & Remodeling Services,2001-01-01 00:00:00,,False,NR,0.00,3,0,False,Micro-small,False,2023-01-31 08:46:00
0704,1000000007,Verndale Custom Builders,302 E Mason Ave,,Verndale,MN,56481,USA,2184456006,vcb@wcta.net,https://www.facebook.com/Verndale-Custom-Builders-1129143507102828/,10078-000,Home Builders,2013-01-14 00:00:00,,False,NR,0.00,6,0,False,Small,False,2023-02-02 08:52:00
0704,1000000009,"Larry Brooks Builders, Inc.",185 High Point Pl NE Ste 101,,Byron,MN,55920,USA,5077756244,,,10035-000,Contractors - General,2003-03-04 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-10-04 08:07:00
0704,1000000010,Kottkes&#39; Bus Service,13625 Jay St NW,,Andover,MN,55304,USA,7637558506,,http://kottkesbus.com/,70529-000,Bus Lines,1961-12-19 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-11-15 09:11:00
0704,1000000011,Metrowide Legal Services,15050 Cedar Ave Ste 116-259,,Apple Valley,MN,55124,USA,6129784454,baker@metrowidelegal.com,http://www.metrowidelegal.com/,60075-000,Attorneys & Lawyers,2010-12-09 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2020-03-14 04:18:00
0704,1000000012,Midwest Canine,775 40th Ave,,Beaver Creek,MN,56116,USA,5076732571,,http://www.midwestcanine.com/,05195-000,Dog Breeders,,,False,NR,0.00,1,0,False,Micro-small,False,2023-01-31 08:45:00
0704,1000000013,Holysmokerpits,5689 Hermantown rd,,Hermantown ,MN,55810,USA,2184612791,,,80467-200,Meat - Smokehouses,,,False,NR,0.00,1,0,False,Micro-small,False,2022-11-13 09:01:00
0704,1000000014,Lewk,945 Broadway ST NE #160,,Minneapolis,MN,55413,USA,6122008647,hr@lewk.com,,55093-000,Clothing - Retail,2015-04-01 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2022-12-07 09:09:00
0704,1000000015,Longleaf Reclaimed Timber,416 35th Ave NE,,Minneapolis,MN,55418,USA,6124904315,longleafreclaimedtimber@gmail.com,,50291-000,Furniture - Retail,,,False,A+,100.00,1,0,False,Micro-small,False,2022-07-08 12:27:00
0704,1000000016,Live Tree Nursery,146 Wilderness Way,,Good Thunder,MN,56037,USA,5072783414,,,00155-000,Landscape Contractors,1984-01-01 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-04-13 08:06:00
0704,1000000017,"AAA Construction, LLC",8849 Branson Dr,,Inver Grove,MN,55076,USA,6127200881,lorchgreg@yahoo.com,,10177-000,Construction & Remodeling Services,2008-12-30 00:00:00,,False,A+,100.00,1,0,False,Micro-small,False,2021-05-04 04:06:00
