BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code
704,96558521,Hibbing Heating and AC,800 Greyhound Blvd,,Hibbing,MN,55746,USA,2182638133,shawn@hibbingheatingac.com,http://www.hibbingheatingac.com/,10113-000,Plumbers,12/31/2013 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,10/27/2022 8:14,BBB,200
704,96386254,Derby4All LLC,2566 Ellis Ave Apt 109,,Saint Paul,MN,55114,USA,6512472869,derby4all@gmail.com,http://www.Derby4All.com,50608-000,Sporting Goods - Retail,1/6/2010 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,10/19/2022 8:27,BBB,200
704,1000012886,St. Paul Metro Treatment Center,2311 Woodbridge St,,Saint Paul,MN,55113,USA,6517730832,stpaul.mn@cmglp.com,https://newseason.com/clinics/st-paul-metro-treatment-center/,60311-000,Drug Abuse & Addiction - Info & Treatment,6/9/1999 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,8/26/2022 8:32,BBB,200
704,96010521,Penates Homes Inc,14643 Edgewood Dr Ste 115,,Baxter,MN,56425,USA,2188248333,kristophers@kuepers.com,https://www.kuepers.com/,10078-000,Home Builders,1/1/2002 0:00,,FALSE,A+,100,2,,FALSE,Micro-small,FALSE,7/7/2021 4:58,Email,200
704,1000040120,Academia Elze LLC,4 W Franklin Ave,,Minneapolis,MN,55404,USA,6123455370,info@academiaelze.com,https://www.academiaelze.com/,60199-000,Child Care Centers,1/10/2018 0:00,,FALSE,A+,100,1,,FALSE,Micro-small,FALSE,7/8/2022 12:31,BBB,200
704,1000057741,Professional Education Resources LLC,29491 Hay Creek Trl,,Red Wing,MN,55066,USA,6513012121,jolson@proedresource.com,https://proedresource.com/,85364-100,Online Education,9/18/2012 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,11/23/2022 9:43,BBB,200
704,96075270,Priority Plumbing & Drains,13220 County Road 6 Ste 150,,Plymouth,MN,55441,USA,7634778675,info@callpriority.com,http://www.callpriority.com/,10113-000,Plumbers,12/2/2005 0:00,,FALSE,A+,100,2,0,FALSE,Micro-small,FALSE,1/13/2023 9:01,BBB,200
704,23002126,Alpha Omega Decorating,4429 Hodgson Rd,,Saint Paul,MN,55126,USA,6517650600,remodel@aodecorating.com,http://www.aodecorating.com,60470-000,Interior Decorators & Designers,10/1/1995 0:00,,FALSE,A+,100,5,,FALSE,Micro-small,FALSE,7/22/2022 8:23,BBB,200
704,96083673,Peters Billiards,6150 Lyndale Ave S,,Minneapolis,MN,55419,USA,6128668433,jan@petersbilliards.com,http://www.petersbilliards.com,50076-000,Billiard Equipment & Supplies,1/1/1984 0:00,,FALSE,A+,100,30,,FALSE,Small,FALSE,5/27/2022 8:35,BBB,200
704,43001931,Smart Sweep Chimney Service,7151 123rd St W,,Saint Paul,MN,55124,USA,9529973502,,http://www.smartsweepchimney.com,60201-000,Chimney Cleaning,7/1/1999 0:00,,FALSE,A+,100,1,,FALSE,Micro-small,FALSE,10/5/2022 8:45,BBB,200
704,96142620,City Air Mechanical Inc,3505 E Rosser Ave,,Bismarck,ND,58501,USA,7012233775,,http://www.cityairmechanical.com,10113-000,Plumbers,1/1/1984 0:00,,FALSE,A+,100,20,,FALSE,Small,FALSE,6/12/2022 8:06,BBB,200
704,96558492,Jay Fletch Real Estate Group,8631 Eagle Point Blvd,,Lake Elmo,MN,55042,USA,6515022972,jayfletch@edinarealty.com,http://www.jayfletchrealty.com/,60729-102,Real Estate Agents,,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,11/18/2022 9:13,BBB,200
