,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code
400,704.0,96093646,Blooming Prairie Gardens Inc,13185 W County Road B,,Hayward,WI,54843.0,USA,7156990750.0,,http://www.bloomingprairiegardens.com,50564-000,Seeds & Bulbs - Retail,9/13/2001 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/4/2022 8:29,BBB,200
401,704.0,96570444,Andy Dunphy Insurance & Financial Services Inc,3567 Sheyenne Cir,,Valley City,ND,58072.0,USA,7012811383.0,andy.dunphy@countryfinancial.com,https://representatives.countryfinancial.com/Andy.Dunphy,20085-000,Financial Services,6/2/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,5/7/2022 8:20,BBB,200
402,704.0,96019816,"JJ Taylor Distributing Company of Minnesota, Inc.",701 Industrial Blvd NE,,Minneapolis,MN,55413.0,USA,6514821133.0,,http://www.jjtaylor.com,85084-000,Beverages - Wholesale & Distribution,1/1/1984 0:00,,False,A+,100.0,170.0,,False,Medium,False,3/9/2022 10:13,BBB,200
403,704.0,51000458,Royal Tire Inc,3955 Roosevelt Rd,,Saint Cloud,MN,56301.0,USA,3202587070.0,mike@webgemsports.com,http://www.royaltire.com,50659-000,Tire Dealers,1/1/1961 0:00,,False,B-,80.0,188.0,0.0,False,Medium,False,11/17/2022 9:21,BBB,200
404,704.0,96347243,Total Image Flooring Incorporated,51 Bell Cir,,Silver Bay,MN,55614.0,USA,9523564279.0,totalimageflooring@live.com,https://www.facebook.com/affordableflooringmn/,50273-000,Floor Materials - Retail,7/30/2010 0:00,10/1/2016 0:00,False,NR,0.0,2.0,,False,Micro-small,False,12/8/2021 4:46,BBB,200
405,704.0,96383409,Amplifon Hearing Health Care Corp,150 S 5th St,Ste 2300,Minneapolis,MN,55402.0,USA,8778467074.0,sandra.hill@amplifon.com,http://www.amplifonusa.com,50337-000,Hearing Aids & Assistive Devices,12/10/2003 0:00,,True,A+,100.0,82.0,,False,Small,False,1/28/2023 8:47,BBB,200
406,704.0,96539822,J T Egner Construction,17595 Kenwood Trl,,Lakeville,MN,55044.0,USA,9529850582.0,jegner@jtegner.com,https://www.jtegner.com/,10035-000,Contractors - General,4/30/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/7/2022 8:10,Email,200
407,704.0,96554000,B & G Drywall LLC,411 Lake St,,Lake Park,MN,56554.0,USA,2188413540.0,accounts.payable@bg-drywallllc.com,http://www.bg-drywallllc.com,10046-000,Drywall Contractors,10/3/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/26/2022 8:41,BBB,200
408,704.0,1000051665,Blondie's Welding LLC,2955 S Co Rd 45,,Owatonna,MN,55060.0,USA,5076766728.0,blondieswelding@yahoo.com,https://www.facebook.com/blondieswelding/,60948-000,Welding,10/30/2015 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2/17/2022 9:43,BBB,200
409,704.0,96537315,MJB Lock Services LLC,,,,,,,,mike@mjblockservices.com,http://www.mjblockservices.com,60522-000,Locks & Locksmiths,4/1/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/11/2022 9:33,BBB,200
410,704.0,96005392,"Valley Accounting & Tax, LLC",7300 147th St W Ste 100A,,Apple Valley,MN,55124.0,USA,9524323140.0,asegna@avaat.net,http://www.avaat.net,60005-000,Accountants,11/22/2013 0:00,,False,A+,100.0,10.0,0.0,False,Small,False,2/3/2023 9:11,BBB,200
411,704.0,1000051566,"Royal Glass, LLC",853 Hale Pl,,Windom,MN,56101.0,USA,5078328333.0,royalglassmn@gmail.com,https://www.facebook.com/RoyalGlassMN/,92000-000,"Glass, Mirror & Screen Companies",2/2/2019 0:00,,True,A+,99.97,2.0,,False,Large,False,1/28/2023 8:48,BBB,200
412,704.0,1000004910,Sanford Health DL Clinic Same Day Surgery Center,1245 Washington Ave,,Detroit Lakes,MN,56501.0,USA,2188462000.0,breanna.adams@sanfordhealth.org,https://www.sanfordhealth.org/,60445-200,Outpatient Surgery Centers ,1/1/1991 0:00,,False,A+,100.0,65.0,0.0,False,Medium,False,11/23/2021 6:33,Email,200
