,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code
0,704.0,96558521,Hibbing Heating and AC,800 Greyhound Blvd,,Hibbing,MN,55746.0,USA,2182638133.0,shawn@hibbingheatingac.com,http://www.hibbingheatingac.com/,10113-000,Plumbers,12/31/2013 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/27/2022 8:14,BBB,200
1,704.0,96386254,Derby4All LLC,2566 Ellis Ave Apt 109,,Saint Paul,MN,55114.0,USA,6512472869.0,derby4all@gmail.com,http://www.Derby4All.com,50608-000,Sporting Goods - Retail,1/6/2010 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/19/2022 8:27,BBB,200
2,704.0,1000012886,St. Paul Metro Treatment Center,2311 Woodbridge St,,Saint Paul,MN,55113.0,USA,6517730832.0,stpaul.mn@cmglp.com,https://newseason.com/clinics/st-paul-metro-treatment-center/,60311-000,Drug Abuse & Addiction - Info & Treatment,6/9/1999 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/26/2022 8:32,BBB,200
3,704.0,96010521,Penates Homes Inc,14643 Edgewood Dr Ste 115,,Baxter,MN,56425.0,USA,2188248333.0,kristophers@kuepers.com,https://www.kuepers.com/,10078-000,Home Builders,1/1/2002 0:00,,False,A+,100.0,2.0,,False,Micro-small,False,7/7/2021 4:58,Email,200
4,704.0,1000040120,Academia Elze LLC,4 W Franklin Ave,,Minneapolis,MN,55404.0,USA,6123455370.0,info@academiaelze.com,https://www.academiaelze.com/,60199-000,Child Care Centers,1/10/2018 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,7/8/2022 12:31,BBB,200
5,704.0,1000057741,Professional Education Resources LLC,29491 Hay Creek Trl,,Red Wing,MN,55066.0,USA,6513012121.0,jolson@proedresource.com,https://proedresource.com/,85364-100,Online Education,9/18/2012 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/23/2022 9:43,BBB,200
6,704.0,96075270,Priority Plumbing & Drains,13220 County Road 6 Ste 150,,Plymouth,MN,55441.0,USA,7634778675.0,info@callpriority.com,http://www.callpriority.com/,10113-000,Plumbers,12/2/2005 0:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,1/13/2023 9:01,BBB,200
7,704.0,23002126,Alpha Omega Decorating,4429 Hodgson Rd,,Saint Paul,MN,55126.0,USA,6517650600.0,remodel@aodecorating.com,http://www.aodecorating.com,60470-000,Interior Decorators & Designers,10/1/1995 0:00,,False,A+,100.0,5.0,,False,Micro-small,False,7/22/2022 8:23,BBB,200
8,704.0,96083673,Peters Billiards,6150 Lyndale Ave S,,Minneapolis,MN,55419.0,USA,6128668433.0,jan@petersbilliards.com,http://www.petersbilliards.com,50076-000,Billiard Equipment & Supplies,1/1/1984 0:00,,False,A+,100.0,30.0,,False,Small,False,5/27/2022 8:35,BBB,200
9,704.0,43001931,Smart Sweep Chimney Service,7151 123rd St W,,Saint Paul,MN,55124.0,USA,9529973502.0,,http://www.smartsweepchimney.com,60201-000,Chimney Cleaning,7/1/1999 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,10/5/2022 8:45,BBB,200
10,704.0,96142620,City Air Mechanical Inc,3505 E Rosser Ave,,Bismarck,ND,58501.0,USA,7012233775.0,,http://www.cityairmechanical.com,10113-000,Plumbers,1/1/1984 0:00,,False,A+,100.0,20.0,,False,Small,False,6/12/2022 8:06,BBB,200
11,704.0,96558492,Jay Fletch Real Estate Group,8631 Eagle Point Blvd,,Lake Elmo,MN,55042.0,USA,6515022972.0,jayfletch@edinarealty.com,http://www.jayfletchrealty.com/,60729-102,Real Estate Agents,,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/18/2022 9:13,BBB,200
12,704.0,96379008,"My Exteriors, Inc.",18996 Lincoln St NW,,Elk River,MN,55330.0,USA,7632414900.0,Rick@MyExteriorsMN.com,http://www.myexteriorsmn.com,10035-200,Contractor - Remodel & Repair,7/12/2006 0:00,,False,A+,98.67,8.0,0.0,False,Micro-small,False,9/10/2022 8:39,BBB,200
13,704.0,96008160,B N R Excavating,PO Box 4154,,Hastings,MN,55033.0,USA,6514388692.0,nadeau@usinternet.com,https://www.usinternet.com/,10050-000,Excavating Contractors,,11/25/2015 0:00,False,NR,0.0,1.0,,False,Micro-small,False,1/27/2023 9:08,Email,200
14,704.0,51001468,Austin Area Chamber of Commerce,329 N Main St Ste 102,,Austin,MN,55912.0,USA,5074374561.0,execdir@austincoc.com,http://www.austincoc.com,60194-000,Chambers Of Commerce,1/1/1939 0:00,,True,A+,100.0,3.0,0.0,False,Micro-small,False,1/24/2023 8:57,BBB,200
15,704.0,96130069,United Methodist First Choice FCU,122 W Franklin Ave Ste 400,,Minneapolis,MN,55404.0,USA,6128700058.0,,http://www.minnesotaumc.org,20009-000,Credit Unions,1/1/1992 0:00,,False,NR,0.0,25.0,,False,Micro-small,False,11/29/2021 3:59,BBB,200
16,704.0,23002635,"ECOsmarte Planet Friendly, Inc.",9437 Garfield Ave S Ste 110,Suite 110,Minneapolis,MN,55420.0,USA,6128661200.0,larryc@ecosmarte.com,http://www.ecosmarte.com,80779-000,Water Filtration & Purification Equipment,3/15/1996 0:00,,True,A+,100.0,14.0,0.0,False,Small,False,1/27/2023 9:08,BBB,200
17,704.0,96110396,TUCS Equipment,755 S Old Highway 18,,Princeton,MN,55371.0,USA,7636318827.0,dcoleman@tucsequipment.com,http://www.tucsequipment.com,30784-000,Manufacturers & Producers,1/1/1984 0:00,,False,A+,100.0,35.0,,False,Micro-small,False,9/15/2021 4:36,BBB,200
18,704.0,96107731,Southern Living House Plans,1000 County Road E W,,Shoreview,MN,55126.0,USA,6123555700.0,sharon.herbert@homeplans.com,http://www.coastallivinghouseplans.com,60439-000,Home Design & Planning,10/16/2008 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/5/2022 8:45,BBB,200
19,704.0,21001144,Active Research Investigations Inc,949 Vadnais Dr Ste B,,Vadnais Heights,MN,55127.0,USA,6516599551.0,,http://www.arinvestigation.com,60476-000,Investigators,11/17/2008 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/20/2022 9:09,BBB,200
20,704.0,96108583,"Redwood Building Center, Inc.",811 E Bridge St,,Redwood Falls,MN,56283.0,USA,5076378461.0,michaelw@redwoodbuildingcenter.com,http://www.redwoodbuildingcenter.com,10035-000,Contractors - General,1/1/1984 0:00,,False,A+,100.0,8.0,,False,Micro-small,False,6/17/2021 4:20,BBB,200
21,704.0,96281964,Fire Audiology & Hearing Center,121 North Washington St.,,Grand Forks,ND,58203.0,USA,7017875862.0,,http://www.hearingnd.com,50337-000,Hearing Aids & Assistive Devices,1/1/2002 0:00,,False,NR,0.0,2.0,,False,Micro-small,False,12/8/2022 9:14,BBB,200
22,704.0,1000031981,Shakopee Candle Company,611 Hennes Ave,,Shakopee,MN,55379.0,USA,6128047486.0,,https://shakopeecandle.com/,62100-000,Online Retailer,11/18/2016 0:00,,False,NR,0.0,1.0,,False,Micro-small,False,11/13/2022 9:01,BBB,200
23,704.0,1000011932,Launch 5 Media Inc,319 Nevada St ,,Northfield,MN,55057.0,USA,6127563922.0,info@launch5media.com,https://www.launch5media.com/,60473-600,Digital Marketing,11/24/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,12/2/2021 4:07,BBB,200
24,704.0,1000012090,Jerry's Military Exchange,501 Bluff Ave,,St Charles,MN,55972.0,USA,7156713259.0,balkolikesbeer@gmail.com,https://jerrysmilitaryexchange-com.3dcartstores.com,50024-100,Military Goods,,,False,A+,97.0,1.0,0.0,False,Micro-small,False,12/1/2021 4:53,BBB,200
25,704.0,96360798,Justin Ruby&#39;s Bookkeeping Solutions,7459 96th St S,,Cottage Grove,MN,55016.0,USA,6512312307.0,jdruby11@smumn.edu,https://www.smumn.edu/,60155-000,Bookkeeping Service,,,False,A+,100.0,1.0,,False,Micro-small,False,9/14/2022 8:40,Email,200
26,704.0,96366497,"Stroman Tile, LLC",11016 Johnson Ave S,,Bloomington,MN,55437.0,USA,6122211630.0,stromantile@gmail.com,https://sites.google.com/site/stromantile/,10159-000,Tile - Ceramic - Contractors & Dealers,7/18/2011 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,11/25/2020 4:56,BBB,200
27,704.0,1000006794,"Dance, Etc",1305 Dyke Ave,,Grand Forks,ND,58203.0,USA,7017753476.0,director@dance-etc-nd.com,http://www.dance-etc-nd.com/,60277-000,Dance Companies,9/7/1995 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/9/2023 8:32,BBB,200
28,704.0,96162328,Good Samaritan Society -Oakes,213 N 9th St,,Oakes,ND,58474.0,USA,7017423274.0,gss6260@good-sam.com,http://www.good-sam.com,60617-000,Nursing Homes,1/1/1984 0:00,,False,A+,100.0,118.0,0.0,False,Micro-small,False,8/4/2022 8:30,BBB,200
