,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code
1200,704,1000005401,"Chateau Brick & Repair, Inc.",2450 W 150th Street,,Shakopee,MN,55379.0,USA,9524960134.0,,https://nextdoor.com/pages/chateau-brick-repair-shakopee-mn/,60201-000,Chimney Cleaning,2/2/87 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/26/22 8:45,Search,200
1201,704,1000003783,Turf Masters,4551 253rd Ave NW,,Isanti,MN,55040.0,USA,6122213222.0,,https://nextdoor.com/pages/turf-masters-isanti-mn/,00155-000,Landscape Contractors,1/1/03 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/28/23 8:48,Search,200
1202,704,1000005179,Grand Health Chiropractice and Wellness Center,1025 Selby Ave Ste 101,,Saint Paul,MN,55104.0,USA,6512289000.0,,https://grandhealthchiro.com/,60205-000,Chiropractors D.C.,11/5/14 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,12/6/20 3:57,Search,200
1203,704,1000004970,Casterton Title & Closing Company,38814 3rd Ave,,North Branch,MN,55056.0,USA,6512577202.0,,https://www.superpages.com/north-branch-mn/title-companies,20072-000,Title Companies & Agents,12/28/01 0:00,1/3/20 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/4/20 4:16,Search,200
1204,704,1000006264,Corey Hulke Construction,51377 460th Ln,,Courtland,MN,56021.0,USA,5073591050.0,,https://opencorporates.com/companies/us_mn/fe70ab67-8dd4-e011-a886-001ec94ffe7f,10035-000,Contractors - General,4/6/06 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,3/20/21 4:04,Search,200
1205,704,1000003022,Scherrcom,2032 119th Ave Se,,Valley City,ND,58072.0,USA,7018455180.0,,https://www.finduslocal.com/computer-related-services-special-warehousestorage/north-dakota/valley-city/scherrcom_213-central-ave-n/,60235-000,"Computers Hardware, Software & Services",,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/29/23 8:36,Search,200
1206,704,1000006694,"Nadine Julson, LLC",7177 county rd 81 ,,Wahpeton,ND,58075.0,USA,7016428146.0,,https://www.julsoncpa.com/,60005-000,Accountants,12/4/97 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,4/28/21 4:48,Search,200
1207,704,1000005551,Treasures in Town,206 S Main St,,Le Sueur,MN,56058.0,USA,5076654923.0,,https://www.facebook.com/treasuresintown/,50655-000,Thrift Shops,4/5/06 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/26/22 8:45,Search,200
1208,704,1000000194,"Jespersen Excavating, Inc.",7911 County Road 15 W,,Minot,ND,58703.0,USA,7018336063.0,,https://www.facebook.com/jespersenexc/,10035-000,Contractors - General,3/31/04 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,8/11/22 8:30,Search,200
1209,704,1000006252,Helen Wood MD,7400 Metro Blvd Ste 235,,Edina,MN,55439.0,USA,9522367623.0,,https://www.helenwoodmd.com/,60970-000,Physicians - Specialists,10/21/09 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/5/20 4:18,Search,200
1210,704,1000005087,Dean Burzinski Construction,2500 2nd Ave NW,,Nicolville,MN,55912.0,USA,5073962785.0,,https://southgate.austin.k12.mn.us/staff-directory,10177-000,Construction & Remodeling Services,6/20/00 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/29/21 3:57,Search,200
1211,704,1000005076,Brovold Home Services Inc,4055 133rd Ln NE,,Ham Lake,MN,55304.0,USA,6126854371.0,,https://www.superpages.com/andover-mn/bpp/brovold-home-services-inc-25644486,10177-000,Construction & Remodeling Services,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/24/23 8:58,Search,200
1212,704,1000005088,Roger Busiahn Construction,5563 120th Ave,,Wood Lake,MN,56297.0,USA,5078280247.0,,https://homeflock.com/contractor/12829880,10177-000,Construction & Remodeling Services,4/27/11 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/5/21 3:58,Search,200
1213,704,1000005065,Brian Lagergren LLC,5735 Co Rd 1,,Littlefork,MN,56653.0,USA,2182784327.0,,https://opencorporates.com/companies/us_mn/f0360bf9-7310-e111-aff2-001ec94ffe7f,10177-000,Construction & Remodeling Services,12/17/11 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/20/22 8:57,Search,200
