,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code
885,885,96080,96080,704,1000005190,Sand Lake Resort,94154 Co. Hwy 61,,Sturgeon Lake,MN,55793.0,USA,2184858164.0,,https://www.sandlakeresort.com/,60752-000,Resorts,2007-10-29 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-24 08:58:00,Search,200
1172,1172,96375,96375,704,1000006056,Jim&#39;s Garage Door,1007 17th St NE,,Sydney,ND,58401.0,USA,7012528372.0,,https://jimsgaragedoors.com.au/contact-us/,85361-000,Garage Door Repair,1996-02-20 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2022-08-05 08:39:00,Search,200
414,414,95541,95541,704,1000002787,Bohnsack Excavating Inc,17072 Revere Way,,Prior Lake,MN,55372.0,USA,9524473884.0,,https://www.hometowndemolitioncontractors.com/demolition-reviews/bohnsack-hennen-excavating-inc-prior-lake-mn.html,10050-000,Excavating Contractors,1985-01-01 00:00:00,,False,NR,0.0,5.0,0.0,False,Micro-small,False,2023-01-31 08:46:00,Search,200
197,197,95322,95322,704,1000001622,Randy&#39;s In Town,3731 Front St,,Barnum,MN,55707.0,USA,2183896996.0,,https://www.showmelocal.com/profile.aspx?bid=1188661,60103-000,Auto Repair & Service,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-31 08:46:00,Search,200
1091,1091,96294,96294,704,1000005836,M.J.Tarolli LLC,130 Banks Blvd,,Silver Bay,MN,55614.0,USA,2182263935.0,,https://m.facebook.com/michael.tarolli.3/,10035-000,Contractors - General,2009-09-25 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2020-01-25 04:31:00,Search,200
588,588,95740,95740,704,1000003781,Burrough&#39;s Bulldozing & Excavating inc,12441 Knollwood Rd,,Caledonia,MN,55921.0,USA,5077253609.0,,https://www.excavation.cc/company-burroughs-bulldozing-inc-in-caledonia-mn-42176,10050-000,Excavating Contractors,2005-01-01 00:00:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,2023-01-31 08:46:00,Search,200
233,233,95359,95359,704,1000001740,Fast Sign,2455 Xenium Ln N,,Minneapolis,MN,55441.0,USA,9529149860.0,,https://www.fastsigns.com/minneapolis-mn/,30614-000,Signs,2006-04-21 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-04 09:03:00,Search,200
173,173,95298,95298,704,1000001541,Meeks Lawn Care,6384 Pinecone Ln Nw,,Walker,MN,56484.0,USA,2185473729.0,,https://lawn-services.cmac.ws/meeks-lawn-care/13691/,00155-000,Landscape Contractors,2010-08-30 00:00:00,2016-05-18 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2019-05-20 04:18:00,Search,200
563,563,95715,95715,704,1000003649,Pine’s Greek Deli and Grill,2 S Pine Dr,,Circle Pines,MN,55014.0,USA,7634320768.0,,https://www.menupix.com/twincities/restaurants/173519/Pines-Greek-Deli-and-Grill-Circle-Pines-MN,50202-000,Delicatessens,2016-07-28 00:00:00,,False,NR,0.0,,0.0,False,Micro-small,False,2019-07-30 03:56:00,Search,200
29,29,95154,95154,704,1000000068,Clockwise Transit,2003 10th Ave S,,Minneapolis,MN,55404.0,USA,6122080312.0,,https://public-transportation-services.cmac.ws/clockwise-transit/6445/,70631-000,Transit Lines,2015-12-20 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-11-13 03:59:00,Search,200
