,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
0,1934,704,1000001387,Continental Rehab Llc,10700 Old County Road 15 # 300,,Minneapolis,MN,55441,USA,9525460366,,https://www.yellowpages.com/minneapolis-mn/mip/continental-rehabilitation-478966991,60205-000,Chiropractors D.C.,1/1/2006 0:00,5/18/2016 0:00,FALSE,NR,0,4,,FALSE,Micro-small,FALSE,5/20/2019 4:18,Search,200,0
1,1935,704,1000002249,Campus Travel LLC,2506 Riverside Ave,,Minneapolis,MN,55454,USA,6123386705,,https://www.yellowpages.com/minneapolis-mn/mip/campus-travel-4528531,70632-000,Travel Agencies & Bureaus,,,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,1/30/2023 8:34,Search,200,0
2,1936,704,1000006506,"Crying Hill Antiques, LLC",1100 crying hill,,Fort Rice,ND,58554,USA,7016678894,,https://www.facebook.com/events/ag-building-red-river-valley-fairgrounds-west-fargo-nd/crying-hill-antique-show-and-sale/881608328616398/,50014-000,Antiques - Dealers,5/27/2008 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,10/17/2022 7:54,Search,200,0
3,1937,704,1000004556,Aquatic Restoration,1416 10th Ave N,,Saint Cloud,MN,56303,USA,3203638328,,https://www.pca.state.mn.us/sites/default/files/wq-ws4-07a.pdf,10035-000,Contractors - General,1/1/1986 0:00,1/3/2020 0:00,FALSE,NR,0,1,,FALSE,Micro-small,FALSE,9/4/2020 4:07,Search,200,0
4,1938,704,1000006226,"W C Peterson Excavating, LLC",1115 County Road 8 NE,,Federal Dam,MN,56641,USA,2186545282,,http://federaldam.com/wordpress/?p=142,10050-000,Excavating Contractors,1/1/2011 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,4/28/2022 8:18,Search,200,0
5,1939,704,1000004296,Glory Shine Cleaning,260 Ikola Rd,,Esko,MN,55733,USA,2188793817,,https://duluthmncoc.weblinkconnect.com/Cleaning-Services/Glory-Shine-Cleaning-1877,66002-000,Cleaning Services,2/18/1986 0:00,,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,12/4/2022 9:03,Search,200,0
6,1940,704,1000006135,Frank's Handyman & Carpenter Service,2521 60th St NE,,Rugby,ND,58368,USA,7012600789,,https://www.homeyou.com/frank39s-handyman-carpenter-service-rugby-nd,15035-000,Handyman Services,12/26/2012 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,8/19/2021 4:22,Search,200,0
7,1941,704,1000002361,Premier Custom Homes Inc,1801 East 5th Street,,Duluth,MN,55812,USA,7632913273,,https://www.premierhomesmn.com/,10035-000,Contractors - General,9/14/2015 0:00,4/2/2018 0:00,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,4/6/2021 4:16,Search,200,1
8,1942,704,1000000054,Herzl Camp,4330 Cedar Lake Rd S,,Minneapolis,MN,55416,USA,9529274002,,https://herzlcamp.org/,60179-000,Camps,2/8/2008 0:00,,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,10/4/2022 8:07,Search,200,1
9,1943,704,1000001519,Miller Trucking,PO Box 414,,Isle,MN,56342,USA,3206763421,,https://miller-trucking.business.site/,70637-000,Trucking - Heavy Hauling,1/1/1984 0:00,,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,1/31/2023 8:46,Search,200,1
10,1944,704,1000006074,Bridge Builder Software,16449 54th St SE,,Kindred,ND,58051,USA,7014289900,,https://www.kyndryl.com/us/en,60236-000,Computer Software Publishers & Developers,7/7/2005 0:00,7/14/2021 0:00,FALSE,NR,0,1,0,FALSE,Micro-small,FALSE,7/16/2021 4:18,Search,200,0
11,1945,704,1000006153,Michael Davis Repairs,17261 Park Cir,,Eden Prairie,MN,55346,USA,6122554583,,https://www.dandb.com/businessdirectory/michaeldavisrepairs-edenprairie-mn-6717817.html,10177-000,Construction & Remodeling Services,10/15/1998 0:00,,FALSE,A+,100,1,0,FALSE,Micro-small,FALSE,1/4/2020 4:16,Search,200,0
