,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
0,400,704,96093646,Blooming Prairie Gardens Inc,13185 W County Road B,,Hayward,WI,54843.0,USA,7156990750.0,,http://www.bloomingprairiegardens.com,50564-000,Seeds & Bulbs - Retail,9/13/01 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/4/22 8:29,BBB,200,1
1,401,704,96570444,Andy Dunphy Insurance & Financial Services Inc,3567 Sheyenne Cir,,Valley City,ND,58072.0,USA,7012811383.0,andy.dunphy@countryfinancial.com,https://representatives.countryfinancial.com/Andy.Dunphy,20085-000,Financial Services,6/2/14 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,5/7/22 8:20,BBB,200,1
2,402,704,96019816,"JJ Taylor Distributing Company of Minnesota, Inc.",701 Industrial Blvd NE,,Minneapolis,MN,55413.0,USA,6514821133.0,,http://www.jjtaylor.com,85084-000,Beverages - Wholesale & Distribution,1/1/84 0:00,,False,A+,100.0,170.0,,False,Medium,False,3/9/22 10:13,BBB,200,1
3,403,704,51000458,Royal Tire Inc,3955 Roosevelt Rd,,Saint Cloud,MN,56301.0,USA,3202587070.0,mike@webgemsports.com,http://www.royaltire.com,50659-000,Tire Dealers,1/1/61 0:00,,False,B-,80.0,188.0,0.0,False,Medium,False,11/17/22 9:21,BBB,200,1
4,404,704,96347243,Total Image Flooring Incorporated,51 Bell Cir,,Silver Bay,MN,55614.0,USA,9523564279.0,totalimageflooring@live.com,https://www.facebook.com/affordableflooringmn/,50273-000,Floor Materials - Retail,7/30/10 0:00,10/1/16 0:00,False,NR,0.0,2.0,,False,Micro-small,False,12/8/21 4:46,BBB,200,1
5,405,704,96383409,Amplifon Hearing Health Care Corp,150 S 5th St,Ste 2300,Minneapolis,MN,55402.0,USA,8778467074.0,sandra.hill@amplifon.com,http://www.amplifonusa.com,50337-000,Hearing Aids & Assistive Devices,12/10/03 0:00,,True,A+,100.0,82.0,,False,Small,False,1/28/23 8:47,BBB,200,1
6,406,704,96539822,J T Egner Construction,17595 Kenwood Trl,,Lakeville,MN,55044.0,USA,9529850582.0,jegner@jtegner.com,https://www.jtegner.com/,10035-000,Contractors - General,4/30/14 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/7/22 8:10,Email,200,1
7,407,704,96554000,B & G Drywall LLC,411 Lake St,,Lake Park,MN,56554.0,USA,2188413540.0,accounts.payable@bg-drywallllc.com,http://www.bg-drywallllc.com,10046-000,Drywall Contractors,10/3/14 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/26/22 8:41,BBB,200,1
8,408,704,1000051665,Blondie's Welding LLC,2955 S Co Rd 45,,Owatonna,MN,55060.0,USA,5076766728.0,blondieswelding@yahoo.com,https://www.facebook.com/blondieswelding/,60948-000,Welding,10/30/15 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2/17/22 9:43,BBB,200,0
9,409,704,96537315,MJB Lock Services LLC,,,,,,,,mike@mjblockservices.com,http://www.mjblockservices.com,60522-000,Locks & Locksmiths,4/1/14 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/11/22 9:33,BBB,200,1
10,410,704,96005392,"Valley Accounting & Tax, LLC",7300 147th St W Ste 100A,,Apple Valley,MN,55124.0,USA,9524323140.0,asegna@avaat.net,http://www.avaat.net,60005-000,Accountants,11/22/13 0:00,,False,A+,100.0,10.0,0.0,False,Small,False,2/3/23 9:11,BBB,200,1
11,411,704,1000051566,"Royal Glass, LLC",853 Hale Pl,,Windom,MN,56101.0,USA,5078328333.0,royalglassmn@gmail.com,https://www.facebook.com/RoyalGlassMN/,92000-000,"Glass, Mirror & Screen Companies",2/2/19 0:00,,True,A+,99.97,2.0,,False,Large,False,1/28/23 8:48,BBB,200,1
12,412,704,1000004910,Sanford Health DL Clinic Same Day Surgery Center,1245 Washington Ave,,Detroit Lakes,MN,56501.0,USA,2188462000.0,breanna.adams@sanfordhealth.org,https://www.sanfordhealth.org/,60445-200,Outpatient Surgery Centers ,1/1/91 0:00,,False,A+,100.0,65.0,0.0,False,Medium,False,11/23/21 6:33,Email,200,1
13,413,704,96003200,KLB Financial,3300 Edinborough Way # 610,,Minneapolis,MN,55435.0,USA,9528859088.0,dana@klbfinancial.com,http://www.KLBFinancial.com,20085-000,Financial Services,11/1/90 0:00,,False,A+,100.0,9.0,,False,Small,False,1/13/21 4:45,BBB,200,0
14,414,704,96028592,Ramsey County Detox Center,402 University Ave E,,Saint Paul,MN,55130.0,USA,6512664009.0,ContactRamseyCounty@co.ramsey.mn.us,http://www.co.ramsey.mn.us/hs/mhc/ChemicalDependency.htm,60452-000,Human Services Organizations,1/1/79 0:00,,False,A+,100.0,58.0,,False,Small,False,8/26/22 8:31,BBB,200,1
15,415,704,96052273,Guild,130 Wabasha St S Ste 90,,Saint Paul,MN,55107.0,USA,6514502220.0,info@guildincorporated.org,https://guildservices.org/,61090-000,Non Profit Organizations - General Membership,4/18/90 0:00,,False,A+,100.0,120.0,0.0,False,Small,False,2/8/23 9:28,BBB,200,1
16,416,704,96005381,OBGYN West PA,14001 Ridgedale Dr Ste 200,,Minnetonka,MN,55305.0,USA,9522492000.0,chrisg@obgynwest.net,http://www.obgynwest.net,60669-000,Physicians & Surgeons - OB/GYN,1/1/84 0:00,,False,A+,100.0,43.0,,False,Small,False,8/27/21 4:04,BBB,200,1
17,417,704,96022716,"Monticello Family Dentistry, LLC",201 W Broadway St,,Monticello,MN,55362.0,USA,7632953676.0,monticellofamilydentistry@tds.net,http://www.monticellodentists.com,60289-000,Dentists,10/21/05 0:00,,False,A+,100.0,13.0,0.0,False,Small,False,4/23/20 4:01,BBB,200,1
18,418,704,1000049911,"Stretcher Transportation Services, LLC",21909 Elm Pkwy,,Rogers,MN,55374.0,USA,7634459255.0,joey@stretchertransportationservices.com,https://stretchertransportationservices.com/,55750-000,Wheelchair & Disability Transportation,6/29/21 0:00,,True,A,94.0,2.0,,False,Micro-small,False,2/3/23 9:13,BBB,200,1
