,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
0,0,0,0,0,0,704,96558521,Hibbing Heating and AC,800 Greyhound Blvd,,Hibbing,MN,55746,USA,2182638133.0,shawn@hibbingheatingac.com,http://www.hibbingheatingac.com/,10113-000,Plumbers,12/31/13 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/27/22 8:14,BBB,200,1.0
1,1,1,1,1,1,704,96386254,Derby4All LLC,2566 Ellis Ave Apt 109,,Saint Paul,MN,55114,USA,6512472869.0,derby4all@gmail.com,http://www.Derby4All.com,50608-000,Sporting Goods - Retail,1/6/10 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/19/22 8:27,BBB,200,1.0
2,2,2,2,2,2,704,1000012886,St. Paul Metro Treatment Center,2311 Woodbridge St,,Saint Paul,MN,55113,USA,6517730832.0,stpaul.mn@cmglp.com,https://newseason.com/clinics/st-paul-metro-treatment-center/,60311-000,Drug Abuse & Addiction - Info & Treatment,6/9/99 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/26/22 8:32,BBB,200,1.0
3,3,3,3,3,3,704,96010521,Penates Homes Inc,14643 Edgewood Dr Ste 115,,Baxter,MN,56425,USA,2188248333.0,kristophers@kuepers.com,https://www.kuepers.com/,10078-000,Home Builders,1/1/02 0:00,,False,A+,100.0,2.0,,False,Micro-small,False,7/7/21 4:58,Email,200,0.0
4,4,4,4,4,4,704,1000040120,Academia Elze LLC,4 W Franklin Ave,,Minneapolis,MN,55404,USA,6123455370.0,info@academiaelze.com,https://www.academiaelze.com/,60199-000,Child Care Centers,1/10/18 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,7/8/22 12:31,BBB,200,1.0
5,5,5,5,5,5,704,1000057741,Professional Education Resources LLC,29491 Hay Creek Trl,,Red Wing,MN,55066,USA,6513012121.0,jolson@proedresource.com,https://proedresource.com/,85364-100,Online Education,9/18/12 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/23/22 9:43,BBB,200,1.0
6,6,6,6,6,6,704,96075270,Priority Plumbing & Drains,13220 County Road 6 Ste 150,,Plymouth,MN,55441,USA,7634778675.0,info@callpriority.com,http://www.callpriority.com/,10113-000,Plumbers,12/2/05 0:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,1/13/23 9:01,BBB,200,0.0
7,7,7,7,7,7,704,23002126,Alpha Omega Decorating,4429 Hodgson Rd,,Saint Paul,MN,55126,USA,6517650600.0,remodel@aodecorating.com,http://www.aodecorating.com,60470-000,Interior Decorators & Designers,10/1/95 0:00,,False,A+,100.0,5.0,,False,Micro-small,False,7/22/22 8:23,BBB,200,1.0
8,8,8,8,8,8,704,96083673,Peters Billiards,6150 Lyndale Ave S,,Minneapolis,MN,55419,USA,6128668433.0,jan@petersbilliards.com,http://www.petersbilliards.com,50076-000,Billiard Equipment & Supplies,1/1/84 0:00,,False,A+,100.0,30.0,,False,Small,False,5/27/22 8:35,BBB,200,1.0
9,9,9,9,9,9,704,43001931,Smart Sweep Chimney Service,7151 123rd St W,,Saint Paul,MN,55124,USA,9529973502.0,,http://www.smartsweepchimney.com,60201-000,Chimney Cleaning,7/1/99 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,10/5/22 8:45,BBB,200,0.0
10,10,10,10,10,10,704,96142620,City Air Mechanical Inc,3505 E Rosser Ave,,Bismarck,ND,58501,USA,7012233775.0,,http://www.cityairmechanical.com,10113-000,Plumbers,1/1/84 0:00,,False,A+,100.0,20.0,,False,Small,False,6/12/22 8:06,BBB,200,1.0
11,11,11,11,11,11,704,96558492,Jay Fletch Real Estate Group,8631 Eagle Point Blvd,,Lake Elmo,MN,55042,USA,6515022972.0,jayfletch@edinarealty.com,http://www.jayfletchrealty.com/,60729-102,Real Estate Agents,,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/18/22 9:13,BBB,200,1.0
12,12,12,12,12,12,704,96379008,"My Exteriors, Inc.",18996 Lincoln St NW,,Elk River,MN,55330,USA,7632414900.0,Rick@MyExteriorsMN.com,http://www.myexteriorsmn.com,10035-200,Contractor - Remodel & Repair,7/12/06 0:00,,False,A+,98.67,8.0,0.0,False,Micro-small,False,9/10/22 8:39,BBB,200,0.0
13,13,13,13,13,13,704,96008160,B N R Excavating,PO Box 4154,,Hastings,MN,55033,USA,6514388692.0,nadeau@usinternet.com,https://www.usinternet.com/,10050-000,Excavating Contractors,,11/25/15 0:00,False,NR,0.0,1.0,,False,Micro-small,False,1/27/23 9:08,Email,200,0.0
