,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
1200,704,1000005401,"Chateau Brick & Repair, Inc.",2450 W 150th Street,,Shakopee,MN,55379,USA,9524960134,,https://nextdoor.com/pages/chateau-brick-repair-shakopee-mn/,60201-000,Chimney Cleaning,2/2/87 0:00,,False,NR,0,1,0,False,Micro-small,False,12/26/22 8:45,Search,200,1
1201,704,1000003783,Turf Masters,4551 253rd Ave NW,,Isanti,MN,55040,USA,6122213222,,https://nextdoor.com/pages/turf-masters-isanti-mn/,00155-000,Landscape Contractors,1/1/03 0:00,,False,NR,0,1,0,False,Micro-small,False,1/28/23 8:48,Search,200,1
1202,704,1000005179,Grand Health Chiropractice and Wellness Center,1025 Selby Ave Ste 101,,Saint Paul,MN,55104,USA,6512289000,,https://grandhealthchiro.com/,60205-000,Chiropractors D.C.,11/5/14 0:00,,False,A+,100,1,0,False,Micro-small,False,12/6/20 3:57,Search,200,1
1203,704,1000004970,Casterton Title & Closing Company,38814 3rd Ave,,North Branch,MN,55056,USA,6512577202,,https://www.superpages.com/north-branch-mn/title-companies,20072-000,Title Companies & Agents,12/28/01 0:00,1/3/20 0:00,False,NR,0,1,0,False,Micro-small,False,1/4/20 4:16,Search,200,0
1204,704,1000006264,Corey Hulke Construction,51377 460th Ln,,Courtland,MN,56021,USA,5073591050,,https://opencorporates.com/companies/us_mn/fe70ab67-8dd4-e011-a886-001ec94ffe7f,10035-000,Contractors - General,4/6/06 0:00,,False,A+,100,1,0,False,Micro-small,False,3/20/21 4:04,Search,200,1
1205,704,1000003022,Scherrcom,2032 119th Ave Se,,Valley City,ND,58072,USA,7018455180,,https://www.finduslocal.com/computer-related-services-special-warehousestorage/north-dakota/valley-city/scherrcom_213-central-ave-n/,60235-000,"Computers Hardware, Software & Services",,,False,NR,0,1,0,False,Micro-small,False,1/29/23 8:36,Search,200,1
1206,704,1000006694,"Nadine Julson, LLC",7177 county rd 81 ,,Wahpeton,ND,58075,USA,7016428146,,https://www.julsoncpa.com/,60005-000,Accountants,12/4/97 0:00,,False,A+,100,1,0,False,Micro-small,False,4/28/21 4:48,Search,200,1
1207,704,1000005551,Treasures in Town,206 S Main St,,Le Sueur,MN,56058,USA,5076654923,,https://www.facebook.com/treasuresintown/,50655-000,Thrift Shops,4/5/06 0:00,,False,NR,0,1,0,False,Micro-small,False,12/26/22 8:45,Search,200,1
1208,704,1000000194,"Jespersen Excavating, Inc.",7911 County Road 15 W,,Minot,ND,58703,USA,7018336063,,https://www.facebook.com/jespersenexc/,10035-000,Contractors - General,3/31/04 0:00,,False,NR,0,2,0,False,Micro-small,False,8/11/22 8:30,Search,200,1
1209,704,1000006252,Helen Wood MD,7400 Metro Blvd Ste 235,,Edina,MN,55439,USA,9522367623,,https://www.helenwoodmd.com/,60970-000,Physicians - Specialists,10/21/09 0:00,,False,A+,100,1,0,False,Micro-small,False,1/5/20 4:18,Search,200,1
1210,704,1000005087,Dean Burzinski Construction,2500 2nd Ave NW,,Nicolville,MN,55912,USA,5073962785,,https://southgate.austin.k12.mn.us/staff-directory,10177-000,Construction & Remodeling Services,6/20/00 0:00,,False,NR,0,1,0,False,Micro-small,False,6/29/21 3:57,Search,200,0
