,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
47,1647,704,1000001446,A + Home Services,3451 Interlachen Dr Ne,,Andover,MN,55304.0,USA,7634138809.0,,https://www.heatingandcoolingstore.com/,50403-000,Lumber - Retail,1/1/05 0:00,,False,NR,0.0,1.0,,False,Micro-small,False,6/7/22 8:10,Search,200,
48,1648,704,1000000196,Kuck Construction,13917 56th St SE,,Sheldon,ND,58068.0,USA,7017998915.0,,https://www.yellowpages.com/sheldon-nd/mip/kuck-construction-469063669,10035-000,Contractors - General,1/1/07 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/2/23 8:52,Search,200,
49,1649,704,1000004478,Board by Board ,9745 103rd St. Ct. N. ,,Stillwater,MN,55082.0,USA,6513435088.0,,https://www.stillwaterschools.org/our-district/school-board,15058-000,Hardwood Floor Contractors,1/1/02 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/23/21 4:07,Search,200,
50,1650,704,1000002949,Grey Eagle Transport Corp,119 Cedar St S,,Grey Eagle,MN,56336.0,USA,3202853195.0,,https://www.showmelocal.com/profile.aspx?bid=1176044,50750-000,Transportation Services,,12/10/19 0:00,False,NR,0.0,1.0,,False,Micro-small,False,12/12/22 9:00,Search,200,
51,1651,704,1000006426,Ascend Chiropractic,200 E Travelers Trl,,Burnsville,MN,55337.0,USA,9522294425.0,,https://orthopedic.io/chiropractic-clinic/ascend-chiropractic-wellness-llc-burnsville-mn/,60205-000,Chiropractors D.C.,1/25/16 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/23/20 3:56,Search,200,
52,1652,704,1000006759,"Conzemius Oil, Inc.",513 5th st,PO Box 28,Breckenridge,MN,56520.0,USA,2186436789.0,,https://www.bloomberg.com/profile/company/0418887D:US,30432-000,Oils - Petroleum,4/24/98 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/7/22 8:10,Search,200,
53,1653,704,1000002016,Lennar Constuction LLC,8524 Packard Ave NE,,Elk River,MN,55330.0,USA,7635599293.0,,https://www.newhomesource.com/communities/mn/minneapolis-st.-paul-area/elk-river/builder-lennar-644,10035-000,Contractors - General,8/30/10 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,4/1/22 18:59,Search,200,
54,1654,704,1000001474,"Eagle Construction Company, Inc.",515 9th Avenue NW,,Little Falls,MN,56345.0,USA,3206325429.0,,https://eaglecci.net/,10177-000,Construction & Remodeling Services,1/10/73 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/15/22 9:02,Search,200,
55,1655,704,1000002087,G Thomas Construction,13750 10th St N,,Stillwater,MN,55082.0,USA,6514366599.0,,https://gthomasconstruction.com/,10035-000,Contractors - General,1/1/08 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,1/30/23 8:33,Search,200,
56,1656,704,1000006151,Barry Markus Remodeling Inc,3628 pillsbury Ave S,,Minneapolis,MN,55409.0,USA,6122722843.0,,https://www.homeyou.com/barry-markus-remodeling-inc-minneapolis-mn,10177-100,Basement - Remodeling,6/8/04 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/11/22 8:14,Search,200,
57,1657,704,1000006223,Cryptid Hair Parlour,2358 Stinson Blvd,,Minneapolis,MN,55418.0,USA,6123547328.0,,https://www.cryptidhair.com/,60420-000,Hair Styling and Services,3/21/16 0:00,,False,A+,99.47,1.0,0.0,False,Micro-small,False,1/4/20 4:16,Search,200,
58,1658,704,1000005841,Agri-Resources,5621 53rd Ave S,,Fargo,ND,58104.0,USA,7012773221.0,,https://agriresources.ag/,00103-000,Agricultural Services,10/17/00 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/2/23 8:49,Search,200,
59,1659,704,1000005785,Advanced Electric Company Inc,4132 Hull Rd,,Hopkins,MN,55305.0,USA,9529351329.0,,https://www.whodoyou.com/biz/38942/advanced-electric-co-inc-hopkins-mn,10049-000,Electricians,9/22/70 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,9/22/22 8:57,Search,200,
60,1660,704,1000003466,Scotty's Transmission Repair LLC,3974 State Highway 55 SE,,Buffalo,MN,55313.0,USA,7634387406.0,,https://opencorporates.com/companies/us_mn/2832deaa-1cd0-e511-8164-00155d01c56d,60902-000,Transmissions - Automobile,2/10/16 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,3/25/22 8:41,Search,200,
61,1661,704,1000005089,Curtis Buysee Construction,1961 County Road 10,,Minneota,MN,56264.0,USA,5075305906.0,,https://partnercarrier.com/MN/MINNEOTA/CURTIS-BUYSSE-CONSTRUCTION-USDOT-2819415,10177-000,Construction & Remodeling Services,6/14/07 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/6/21 4:29,Search,200,
62,1662,704,1000003835,"Eric&#39;s Custom Carpentry, LLC",2014 E 4th St,,Duluth,MN,55812.0,USA,2183409146.0,,https://duluthcarpentry.com/,10019-000,Carpenters,12/21/10 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,11/17/22 9:21,Search,200,
63,1663,704,1000004953,Koala-T Enterprises,1391 Pineview Ln. N.,,Dayton,MN,55327.0,USA,,,https://www.facebook.com/profile.php?id=100064095487893,62100-000,Online Retailer,,1/6/20 0:00,False,NR,0.0,1.0,,False,Micro-small,False,1/9/23 8:32,Search,200,
